Date,inflation_rate,unemployment_rate,inflation_rate_MA30,unemployment_rate_MA30
2000-01-18,2.67,6.45,,
2000-01-19,2.96,6.4,,
2000-01-20,2.34,6.51,,
2000-01-21,1.52,4.71,,
2000-01-22,1.51,6.09,,
2000-01-23,3.04,5.79,,
2000-01-24,3.3,6.95,,
2000-01-25,3.19,5.63,,
2000-01-26,3.69,5.43,,
2000-01-27,2.56,6.71,,
2000-01-28,2.61,5.41,,
2000-01-29,3.56,4.47,,
2000-01-30,3.4,6.03,,
2000-01-31,2.42,6.32,,
2000-02-01,2.95,7.79,,
2000-02-02,3.17,8.3,,
2000-02-03,3.1,7.41,,
2000-02-04,3.4,5.85,,
2000-02-05,2.96,5.64,,
2000-02-06,2.64,4.84,,
2000-02-07,3.77,4.25,,
2000-02-08,4.02,5.87,,
2000-02-09,2.95,5.24,,
2000-02-10,3.82,5.92,,
2000-02-11,3.54,6.61,,
2000-02-12,3.0,7.89,,
2000-02-13,4.1,6.47,,
2000-02-14,2.88,6.36,,
2000-02-15,2.76,5.9,,
2000-02-16,2.93,6.73,3.0253333333333337,6.132333333333333
2000-02-17,3.52,6.18,3.0536666666666665,6.123333333333334
2000-02-18,2.93,7.81,3.0526666666666666,6.170333333333334
2000-02-19,3.19,6.94,3.0810000000000004,6.184666666666667
2000-02-20,3.18,6.85,3.1363333333333334,6.256
2000-02-21,2.61,5.52,3.173,6.237
2000-02-22,2.21,6.03,3.1453333333333333,6.245000000000001
2000-02-23,1.68,6.87,3.091333333333333,6.242333333333333
2000-02-24,2.26,6.55,3.0603333333333333,6.273
2000-02-25,3.55,6.03,3.0556666666666668,6.293
2000-02-26,3.31,7.16,3.0806666666666667,6.308000000000001
2000-02-27,3.2,6.79,3.1003333333333334,6.353999999999999
2000-02-28,3.61,6.64,3.102,6.426333333333333
2000-02-29,2.22,6.46,3.062666666666667,6.440666666666667
2000-03-01,3.23,5.67,3.0896666666666666,6.419
2000-03-02,2.49,6.27,3.0743333333333336,6.368333333333334
2000-03-03,1.82,5.92,3.029333333333333,6.289
2000-03-04,2.59,5.41,3.0123333333333333,6.222333333333333
2000-03-05,2.72,5.98,2.9896666666666665,6.2266666666666675
2000-03-06,2.89,5.15,2.9873333333333334,6.210333333333333
2000-03-07,2.93,5.76,2.9970000000000003,6.2410000000000005
2000-03-08,3.36,6.12,2.9833333333333334,6.303333333333334
2000-03-09,2.32,4.32,2.9266666666666667,6.251666666666667
2000-03-10,2.52,3.82,2.912333333333333,6.2043333333333335
2000-03-11,3.16,6.17,2.8903333333333334,6.212666666666667
2000-03-12,3.57,5.66,2.8913333333333333,6.181
2000-03-13,3.02,5.5,2.892,6.101333333333334
2000-03-14,1.74,6.94,2.8133333333333335,6.117000000000001
2000-03-15,1.97,6.44,2.7830000000000004,6.119666666666666
2000-03-16,2.57,5.95,2.7766666666666664,6.121333333333333
2000-03-17,3.25,5.4,2.787333333333333,6.077
2000-03-18,2.81,5.95,2.7636666666666665,6.069333333333333
2000-03-19,3.1,5.79,2.769333333333334,6.002
2000-03-20,2.71,5.52,2.753333333333333,5.954666666666666
2000-03-21,2.93,5.46,2.7449999999999997,5.908333333333333
2000-03-22,3.8,4.31,2.784666666666667,5.867999999999999
2000-03-23,3.07,5.04,2.813333333333333,5.834999999999999
2000-03-24,3.07,6.15,2.859666666666667,5.811000000000001
2000-03-25,4.28,7.19,2.927,5.832333333333334
2000-03-26,2.61,5.85,2.8956666666666666,5.826333333333333
2000-03-27,2.59,5.6,2.8716666666666666,5.774333333333334
2000-03-28,2.69,6.3,2.8546666666666662,5.758
2000-03-29,2.86,6.35,2.8296666666666668,5.748333333333333
2000-03-30,3.74,5.93,2.880333333333333,5.730666666666666
2000-03-31,3.38,4.51,2.8853333333333335,5.691999999999999
2000-04-01,3.33,5.24,2.913333333333333,5.657666666666667
2000-04-02,3.23,6.05,2.9603333333333333,5.662000000000001
2000-04-03,1.71,5.0,2.931,5.648333333333334
2000-04-04,2.31,6.1,2.917333333333333,5.652333333333333
2000-04-05,2.63,4.47,2.908666666666667,5.629666666666667
2000-04-06,3.15,5.02,2.9159999999999995,5.605
2000-04-07,3.92,5.88,2.9346666666666663,5.5969999999999995
2000-04-08,3.22,7.31,2.9646666666666666,5.696666666666667
2000-04-09,3.35,6.08,2.9923333333333337,5.772
2000-04-10,3.75,5.76,3.012,5.758333333333334
2000-04-11,3.53,6.71,3.010666666666667,5.793333333333333
2000-04-12,1.88,5.95,2.972666666666667,5.808333333333334
2000-04-13,1.89,6.27,2.9776666666666665,5.786
2000-04-14,3.2,6.66,3.018666666666667,5.793333333333333
2000-04-15,2.4,5.19,3.013,5.768
2000-04-16,3.35,6.85,3.0163333333333338,5.816333333333334
2000-04-17,3.38,7.51,3.0353333333333334,5.868333333333334
2000-04-18,3.41,7.36,3.0456666666666665,5.9206666666666665
2000-04-19,3.59,5.01,3.075,5.903666666666667
2000-04-20,2.76,5.47,3.0693333333333332,5.904
2000-04-21,3.63,6.03,3.0636666666666668,5.961333333333333
2000-04-22,3.12,5.9,3.0653333333333337,5.99
2000-04-23,3.18,7.41,3.069,6.032
2000-04-24,2.85,6.58,3.0213333333333328,6.011666666666667
2000-04-25,2.98,6.3,3.0336666666666665,6.026666666666667
2000-04-26,3.95,5.98,3.079,6.0393333333333326
2000-04-27,1.94,6.03,3.0540000000000003,6.030333333333333
2000-04-28,1.84,7.34,3.02,6.0633333333333335
2000-04-29,3.41,5.25,3.009,6.040666666666667
2000-04-30,2.88,5.48,2.9923333333333337,6.0729999999999995
2000-05-01,2.71,5.57,2.9716666666666667,6.0840000000000005
2000-05-02,3.77,5.17,2.9896666666666665,6.054666666666666
2000-05-03,2.66,5.52,3.0213333333333328,6.072
2000-05-04,2.45,4.91,3.0260000000000002,6.032333333333333
2000-05-05,2.22,6.97,3.012333333333333,6.115666666666667
2000-05-06,2.66,6.28,2.9960000000000004,6.157666666666667
2000-05-07,3.39,4.89,2.9783333333333335,6.124666666666666
2000-05-08,3.3,5.71,2.9810000000000003,6.071333333333333
2000-05-09,2.57,5.89,2.9549999999999996,6.065
2000-05-10,3.4,5.38,2.9433333333333334,6.052333333333333
2000-05-11,2.14,4.94,2.897,5.993333333333334
2000-05-12,2.71,4.42,2.9246666666666665,5.942333333333333
2000-05-13,2.59,5.04,2.948,5.901333333333334
2000-05-14,3.07,4.4,2.943666666666666,5.826
2000-05-15,2.29,6.33,2.94,5.864000000000001
2000-05-16,2.89,5.93,2.9246666666666665,5.833333333333333
2000-05-17,3.65,5.11,2.933666666666667,5.753333333333333
2000-05-18,2.98,6.52,2.9193333333333333,5.725333333333334
2000-05-19,2.19,5.31,2.8726666666666665,5.735333333333333
2000-05-20,2.29,5.19,2.8569999999999998,5.726
2000-05-21,2.96,6.91,2.8346666666666662,5.755333333333334
2000-05-22,3.07,6.74,2.8329999999999997,5.783333333333333
2000-05-23,3.55,7.25,2.8453333333333335,5.7780000000000005
2000-05-24,2.19,6.37,2.823333333333333,5.771
2000-05-25,2.25,5.28,2.799,5.736999999999999
2000-05-26,3.7,4.42,2.7906666666666666,5.6850000000000005
