Date,interest_rate,exchange_rate,interest_rate_MA30,exchange_rate_MA30
2000-01-05,7.5,2.5,,
2000-01-06,7.5,2.5,,
2000-01-07,7.5,2.5,,
2000-01-08,7.5,2.5,,
2000-01-09,7.5,2.5,,
2000-01-10,7.5,2.5,,
2000-01-11,7.5,2.5,,
2000-01-12,7.5,2.5,,
2000-01-13,7.5,2.5,,
2000-01-14,7.5,2.5,,
2000-01-18,5.88,1.32,,
2000-01-19,6.24,1.29,,
2000-01-20,5.64,1.22,,
2000-01-21,4.41,1.13,,
2000-01-22,4.86,1.16,,
2000-01-23,3.42,1.3,,
2000-01-24,5.51,1.18,,
2000-01-25,4.56,1.04,,
2000-01-26,4.14,1.39,,
2000-01-27,4.01,1.37,,
2000-01-28,5.8,1.38,,
2000-01-29,4.48,1.2,,
2000-01-30,4.58,1.18,,
2000-01-31,6.11,1.11,,
2000-02-01,5.94,1.14,,
2000-02-02,6.13,1.29,,
2000-02-03,4.86,1.27,,
2000-02-04,5.43,1.14,,
2000-02-05,5.4,1.33,,
2000-02-06,5.38,1.27,5.926,1.657
2000-02-07,3.82,1.21,5.803333333333333,1.614
2000-02-08,4.93,1.17,5.717666666666667,1.5696666666666665
2000-02-09,4.99,1.34,5.634,1.531
2000-02-10,3.64,1.21,5.505333333333334,1.488
2000-02-11,6.04,1.26,5.456666666666666,1.4466666666666665
2000-02-12,6.08,1.34,5.4093333333333335,1.4080000000000001
2000-02-13,4.68,1.14,5.315333333333333,1.3626666666666667
2000-02-14,5.0,1.36,5.232,1.3246666666666667
2000-02-15,6.65,1.39,5.203666666666667,1.2876666666666667
2000-02-16,5.14,1.26,5.125,1.2463333333333333
2000-02-17,3.97,1.19,5.061333333333334,1.242
2000-02-18,4.5,1.01,5.003333333333333,1.2326666666666666
2000-02-19,4.69,1.2,4.971666666666667,1.232
2000-02-20,4.61,1.31,4.978333333333334,1.238
2000-02-21,5.61,1.3,5.003333333333333,1.2426666666666668
2000-02-22,3.88,1.33,5.018666666666666,1.2436666666666665
2000-02-23,4.57,1.32,4.987333333333334,1.2483333333333333
2000-02-24,6.51,1.31,5.052333333333333,1.2573333333333332
2000-02-25,5.96,1.5,5.113,1.261
2000-02-26,3.79,1.5,5.105666666666667,1.2653333333333334
2000-02-27,4.79,1.14,5.072,1.2573333333333332
2000-02-28,4.75,1.26,5.081,1.2593333333333334
2000-02-29,5.44,1.11,5.109666666666667,1.2570000000000001
2000-03-01,5.9,1.2,5.102666666666667,1.26
2000-03-02,6.25,1.25,5.1129999999999995,1.2636666666666667
2000-03-03,3.93,1.24,5.039666666666666,1.262
2000-03-04,4.62,1.37,5.031666666666667,1.2653333333333334
2000-03-05,3.72,1.34,4.974666666666667,1.272
2000-03-06,3.09,1.35,4.897666666666667,1.2726666666666666
2000-03-07,5.53,1.19,4.902666666666667,1.27
2000-03-08,5.02,1.29,4.942666666666667,1.2726666666666666
2000-03-09,4.28,1.23,4.921,1.2746666666666668
2000-03-10,4.5,1.14,4.9046666666666665,1.268
2000-03-11,4.36,1.33,4.928666666666667,1.2719999999999998
2000-03-12,4.61,1.35,4.881,1.275
2000-03-13,6.23,1.26,4.886,1.2723333333333333
2000-03-14,5.74,1.27,4.921333333333333,1.2766666666666666
2000-03-15,4.85,1.25,4.916333333333332,1.273
2000-03-16,6.13,1.23,4.899,1.2676666666666667
2000-03-17,5.57,1.27,4.913333333333333,1.268
2000-03-18,5.29,1.33,4.957333333333334,1.2726666666666666
2000-03-19,4.43,1.23,4.955,1.2800000000000002
2000-03-20,3.76,1.33,4.924,1.2843333333333333
2000-03-21,5.15,1.22,4.941999999999999,1.2813333333333332
2000-03-22,5.29,1.25,4.931333333333333,1.2796666666666667
2000-03-23,3.44,1.39,4.916666666666667,1.2816666666666667
2000-03-24,3.98,1.37,4.897,1.2833333333333334
2000-03-25,4.34,1.32,4.824666666666667,1.2836666666666665
2000-03-26,4.29,1.38,4.769,1.2796666666666667
2000-03-27,4.08,1.32,4.778666666666666,1.2736666666666667
2000-03-28,4.75,1.31,4.777333333333333,1.2793333333333334
2000-03-29,5.16,1.39,4.791,1.2836666666666667
2000-03-30,4.88,1.38,4.772333333333334,1.2926666666666666
2000-03-31,4.8,1.28,4.735666666666666,1.2953333333333332
2000-04-01,5.01,1.21,4.694333333333334,1.294
2000-04-02,5.3,1.41,4.739999999999999,1.2996666666666665
2000-04-03,5.01,1.51,4.753,1.3043333333333333
2000-04-04,5.92,1.34,4.826333333333333,1.3043333333333331
2000-04-05,4.91,1.41,4.887,1.3063333333333336
2000-04-06,3.31,1.5,4.813,1.3166666666666667
2000-04-07,4.71,1.41,4.802666666666667,1.3206666666666667
2000-04-08,4.9,1.27,4.823333333333334,1.322
2000-04-09,4.0,1.29,4.8066666666666675,1.3270000000000002
2000-04-10,3.25,1.19,4.769666666666667,1.3223333333333334
2000-04-11,4.75,1.39,4.774333333333334,1.3236666666666668
2000-04-12,6.21,1.26,4.773666666666666,1.3236666666666668
2000-04-13,4.89,1.27,4.745333333333334,1.3236666666666668
2000-04-14,3.93,1.27,4.714666666666668,1.3243333333333331
2000-04-15,5.63,1.2,4.6979999999999995,1.3233333333333335
2000-04-16,5.26,1.17,4.687666666666667,1.32
2000-04-17,5.74,1.23,4.702666666666667,1.3166666666666667
2000-04-18,5.05,1.35,4.723333333333333,1.3206666666666667
2000-04-19,5.96,1.18,4.796666666666667,1.3156666666666665
2000-04-20,5.33,1.25,4.802666666666667,1.3166666666666667
2000-04-21,4.43,1.24,4.774,1.3163333333333334
2000-04-22,6.55,1.41,4.877666666666667,1.317
2000-04-23,5.31,1.28,4.922,1.314
2000-04-24,4.64,1.25,4.9319999999999995,1.3116666666666668
2000-04-25,6.7,1.19,5.012333333333333,1.3053333333333332
2000-04-26,5.47,1.15,5.058666666666667,1.2996666666666667
2000-04-27,5.53,1.19,5.084666666666667,1.2956666666666665
2000-04-28,6.32,1.32,5.123333333333333,1.2933333333333332
2000-04-29,5.93,1.12,5.158333333333333,1.2846666666666666
2000-04-30,5.91,1.4,5.195333333333334,1.2886666666666666
2000-05-01,5.03,1.3,5.196,1.2916666666666667
2000-05-02,5.26,1.27,5.1946666666666665,1.287
2000-05-03,4.36,1.33,5.173,1.281
2000-05-04,5.28,1.37,5.151666666666667,1.282
2000-05-05,6.9,1.37,5.218,1.2806666666666664
2000-05-06,6.18,1.34,5.313666666666666,1.2753333333333332
2000-05-07,5.46,1.18,5.338666666666667,1.2676666666666667
2000-05-08,6.0,1.24,5.375333333333333,1.2666666666666666
2000-05-09,5.77,1.37,5.434333333333332,1.2693333333333332
2000-05-10,4.05,1.24,5.460999999999999,1.2710000000000001
2000-05-11,4.22,1.31,5.4433333333333325,1.2683333333333333
2000-05-12,2.7,1.2,5.326333333333334,1.2663333333333333
2000-05-13,3.37,1.2,5.275666666666666,1.264
2000-05-14,4.82,1.18,5.3053333333333335,1.2610000000000001
2000-05-15,4.64,1.38,5.272333333333333,1.267
2000-05-16,4.23,1.29,5.2379999999999995,1.271
2000-05-17,4.6,1.27,5.2,1.2723333333333333
2000-05-18,5.84,1.27,5.226333333333334,1.2696666666666667
2000-05-19,5.8,1.16,5.221,1.269
2000-05-20,5.0,1.24,5.209999999999999,1.2686666666666668
2000-05-21,3.89,1.26,5.192000000000001,1.2693333333333332
2000-05-22,3.02,1.25,5.074333333333333,1.264
2000-05-23,5.14,1.22,5.068666666666667,1.262
2000-05-24,5.96,1.21,5.112666666666667,1.2606666666666666
2000-05-25,5.81,1.34,5.082999999999999,1.265666666666667
2000-05-26,4.98,1.34,5.066666666666666,1.2719999999999998
2000-05-27,4.45,1.34,5.030666666666666,1.2770000000000001
2000-05-28,5.42,1.44,5.000666666666667,1.281
2000-05-29,6.79,1.35,5.029333333333333,1.2886666666666668
2000-05-30,4.58,1.37,4.984999999999999,1.2876666666666667
2000-05-31,5.24,1.27,4.992,1.2866666666666666
2000-06-01,3.74,1.02,4.941333333333334,1.2783333333333333
2000-06-02,4.14,1.11,4.933999999999999,1.271
2000-06-03,5.0,1.24,4.924666666666666,1.2666666666666666
2000-06-04,5.1,1.28,4.8646666666666665,1.2636666666666667
2000-06-05,5.1,1.38,4.828666666666667,1.2650000000000001
2000-06-06,4.4,1.26,4.793333333333333,1.2676666666666667
2000-06-07,2.73,1.04,4.684333333333333,1.261
2000-06-08,4.61,1.21,4.645666666666666,1.2556666666666667
2000-06-09,4.01,1.21,4.644333333333334,1.2546666666666666
2000-06-10,4.65,1.27,4.658666666666666,1.2533333333333332
2000-06-11,4.05,1.36,4.703666666666666,1.2586666666666666
2000-06-12,4.62,1.35,4.745333333333334,1.2636666666666665
2000-06-13,5.46,1.43,4.766666666666667,1.2719999999999998
2000-06-14,4.88,1.32,4.774666666666667,1.27
2000-06-15,4.55,1.34,4.785333333333333,1.271666666666667
2000-06-16,4.28,1.12,4.774666666666666,1.2666666666666666
2000-06-17,2.96,1.28,4.6786666666666665,1.267
2000-06-18,5.08,1.3,4.654666666666667,1.2716666666666667
2000-06-19,3.72,1.08,4.612,1.2663333333333333
2000-06-20,2.89,1.23,4.578666666666666,1.2653333333333334
2000-06-21,3.8,1.31,4.604666666666668,1.2673333333333334
2000-06-22,4.94,1.33,4.598,1.2710000000000001
2000-06-23,4.99,1.34,4.565666666666668,1.2753333333333334
2000-06-24,4.54,1.22,4.523333333333334,1.2713333333333334
2000-06-25,3.85,1.29,4.485666666666666,1.2696666666666667
2000-06-26,3.73,1.43,4.461666666666667,1.2726666666666666
2000-06-27,6.22,1.23,4.488333333333332,1.2656666666666667
2000-06-28,5.18,1.11,4.434666666666667,1.2576666666666665
2000-06-29,5.46,1.29,4.464,1.2550000000000001
2000-06-30,4.82,1.26,4.45,1.2546666666666666
2000-07-01,5.51,1.23,4.5089999999999995,1.2616666666666667
2000-07-02,5.24,1.3,4.5456666666666665,1.2680000000000002
2000-07-03,3.62,1.15,4.499666666666667,1.2650000000000001
2000-07-04,2.6,1.25,4.416333333333333,1.264
2000-07-05,3.75,1.32,4.371333333333334,1.262
2000-07-06,5.55,1.31,4.409666666666666,1.2636666666666665
2000-07-07,6.01,1.27,4.519000000000001,1.2713333333333334
2000-07-08,4.85,1.39,4.527,1.2773333333333334
