Date,renewable_energy_pct,income_inequality_gini,renewable_energy_pct_MA30,income_inequality_gini_MA30
2000-01-18,12.13,48.75,,
2000-01-19,11.06,44.54,,
2000-01-20,6.34,38.38,,
2000-01-21,10.28,39.17,,
2000-01-22,13.01,42.18,,
2000-01-23,16.25,47.45,,
2000-01-24,14.54,39.91,,
2000-01-25,5.42,34.21,,
2000-01-26,3.24,33.1,,
2000-01-27,8.98,33.47,,
2000-01-28,10.0,35.32,,
2000-01-29,10.83,32.41,,
2000-01-30,5.83,35.09,,
2000-01-31,4.31,33.8,,
2000-02-01,7.69,41.11,,
2000-02-02,15.65,49.49,,
2000-02-03,17.55,50.23,,
2000-02-04,14.21,46.16,,
2000-02-05,10.09,37.82,,
2000-02-06,5.51,35.6,,
2000-02-07,9.81,40.83,,
2000-02-08,13.94,49.72,,
2000-02-09,12.41,34.58,,
2000-02-10,6.94,36.11,,
2000-02-11,6.9,38.89,,
2000-02-12,12.78,37.31,,
2000-02-13,9.86,43.66,,
2000-02-14,10.46,39.72,,
2000-02-15,13.1,36.48,,
2000-02-16,11.62,40.56,10.358,39.86833333333333
2000-02-17,11.44,32.82,10.335,39.337333333333326
2000-02-18,16.34,33.29,10.511,38.96233333333334
2000-02-19,13.52,40.23,10.750333333333336,39.023999999999994
2000-02-20,9.49,48.7,10.723999999999998,39.34166666666667
2000-02-21,7.92,39.12,10.554333333333334,39.23966666666667
2000-02-22,7.36,37.78,10.258000000000001,38.91733333333333
2000-02-23,7.41,40.97,10.020333333333332,38.952666666666666
2000-02-24,8.84,36.48,10.134333333333334,39.028333333333336
2000-02-25,9.95,36.94,10.358,39.15633333333333
2000-02-26,3.43,32.73,10.173,39.13166666666666
2000-02-27,9.72,35.93,10.163666666666666,39.152
2000-02-28,12.45,36.53,10.217666666666668,39.289333333333325
2000-02-29,8.19,44.95,10.296333333333333,39.618
2000-03-01,5.93,41.67,10.350333333333333,39.88033333333333
2000-03-02,0.93,42.27,10.124999999999998,39.919
2000-03-03,4.91,32.13,9.767,39.34033333333333
2000-03-04,7.78,41.02,9.441333333333331,39.03333333333333
2000-03-05,14.86,37.92,9.463,38.75866666666666
2000-03-06,2.92,40.74,9.223999999999998,38.856
2000-03-07,9.95,47.5,9.371999999999998,39.25266666666666
2000-03-08,4.72,42.41,9.202333333333334,39.30533333333334
2000-03-09,14.35,42.45,9.216,39.062999999999995
2000-03-10,5.69,34.95,8.991999999999999,39.07533333333333
2000-03-11,10.69,30.19,9.116999999999999,38.878
2000-03-12,5.19,39.03,9.059999999999999,38.882666666666665
2000-03-13,8.43,41.94,8.915,39.037000000000006
2000-03-14,8.38,38.56,8.865666666666666,38.867
2000-03-15,13.15,41.25,8.955333333333332,38.918
2000-03-16,14.49,44.12,9.001666666666667,39.17266666666667
2000-03-17,10.0,43.33,8.947666666666667,39.265
2000-03-18,13.66,51.99,9.021666666666667,39.904
2000-03-19,12.13,39.54,8.881333333333334,40.11233333333333
2000-03-20,10.19,41.34,8.770333333333333,40.149333333333324
2000-03-21,6.16,42.59,8.659333333333333,39.94566666666667
2000-03-22,13.89,40.79,8.858333333333333,40.001333333333335
2000-03-23,9.35,37.31,8.924666666666667,39.98566666666667
2000-03-24,13.15,34.77,9.116000000000001,39.778999999999996
2000-03-25,7.08,40.19,9.057333333333332,39.90266666666666
2000-03-26,0.93,43.47,8.756666666666666,40.120333333333335
2000-03-27,3.56,41.53,8.761,40.41366666666667
2000-03-28,4.81,29.07,8.597333333333333,40.184999999999995
2000-03-29,4.86,28.0,8.344333333333333,39.900666666666666
2000-03-30,10.74,28.33,8.429333333333334,39.34666666666667
2000-03-31,20.42,37.73,8.912333333333333,39.215333333333334
2000-04-01,14.49,41.62,9.364333333333333,39.193666666666665
2000-04-02,9.44,41.99,9.515333333333333,39.522333333333336
2000-04-03,8.38,39.4,9.535333333333334,39.46833333333334
2000-04-04,13.89,37.45,9.502999999999998,39.452666666666666
2000-04-05,11.57,28.01,9.791333333333334,39.02833333333333
2000-04-06,9.63,34.31,9.780666666666665,38.58866666666667
2000-04-07,3.94,39.49,9.754666666666667,38.49133333333334
2000-04-08,9.17,40.97,9.581999999999999,38.442
2000-04-09,9.07,40.79,9.694666666666667,38.63666666666667
2000-04-10,5.32,44.77,9.515666666666666,39.12266666666667
2000-04-11,8.24,30.56,9.617333333333333,38.840333333333334
2000-04-12,8.24,42.55,9.610999999999999,38.86066666666667
2000-04-13,9.86,41.44,9.660333333333334,38.95666666666667
2000-04-14,10.05,44.49,9.557,39.06466666666667
2000-04-15,5.14,36.99,9.245333333333333,38.827
2000-04-16,8.8,35.42,9.205333333333334,38.56333333333334
2000-04-17,1.39,38.33,8.796333333333333,38.108
2000-04-18,5.74,34.95,8.583333333333334,37.955000000000005
2000-04-19,4.95,28.0,8.408666666666667,37.51033333333334
2000-04-20,12.78,37.78,8.629333333333333,37.35
2000-04-21,13.56,40.51,8.618333333333334,37.34066666666667
2000-04-22,13.1,39.21,8.743333333333334,37.404
2000-04-23,3.52,37.45,8.422333333333334,37.49333333333334
2000-04-24,3.15,38.33,8.291333333333334,37.431333333333335
2000-04-25,12.22,37.73,8.667666666666666,37.24
2000-04-26,13.38,34.26,8.995,36.99766666666667
2000-04-27,16.67,36.11,9.390333333333333,37.23233333333334
2000-04-28,13.7,37.87,9.685,37.56133333333334
2000-04-29,5.32,32.5,9.504333333333333,37.70033333333333
2000-04-30,5.97,37.45,9.022666666666668,37.691
2000-05-01,9.77,34.17,8.865333333333332,37.44266666666667
2000-05-02,6.57,32.45,8.769666666666666,37.12466666666667
2000-05-03,10.46,33.84,8.839,36.93933333333333
2000-05-04,19.63,37.22,9.030333333333335,36.931666666666665
2000-05-05,18.43,32.59,9.259000000000002,37.08433333333334
2000-05-06,15.56,30.56,9.456666666666669,36.95933333333333
2000-05-07,10.6,38.98,9.678666666666667,36.94233333333333
2000-05-08,1.16,41.3,9.411666666666667,36.95333333333333
2000-05-09,5.32,41.44,9.286666666666667,36.975
2000-05-10,9.12,37.96,9.413333333333334,36.748000000000005
2000-05-11,12.31,38.94,9.549000000000001,37.02733333333333
2000-05-12,14.86,29.54,9.769666666666668,36.593666666666664
2000-05-13,12.22,35.05,9.848333333333333,36.38066666666667
2000-05-14,7.78,44.95,9.772666666666668,36.396
2000-05-15,6.94,46.85,9.832666666666666,36.724666666666664
2000-05-16,10.32,31.11,9.883333333333333,36.580999999999996
2000-05-17,15.0,28.0,10.337,36.236666666666665
2000-05-18,16.16,37.5,10.684333333333333,36.321666666666665
2000-05-19,7.92,47.36,10.783333333333333,36.967
2000-05-20,3.56,44.63,10.476,37.19533333333333
2000-05-21,13.52,41.9,10.474666666666668,37.24166666666667
2000-05-22,11.53,41.57,10.422333333333334,37.32033333333333
2000-05-23,11.06,40.14,10.673666666666668,37.41
2000-05-24,4.07,46.57,10.704333333333333,37.684666666666665
2000-05-25,0.0,37.82,10.297,37.687666666666665
2000-05-26,8.94,37.04,10.149000000000001,37.78033333333333
2000-05-27,16.2,38.8,10.133333333333333,37.870000000000005
2000-05-28,7.08,46.85,9.912666666666667,38.169333333333334
2000-05-29,10.23,35.74,10.076333333333334,38.27733333333333
2000-05-30,1.62,41.71,9.931333333333333,38.419333333333334
2000-05-31,14.54,38.94,10.090333333333335,38.57833333333334
2000-06-01,14.31,45.42,10.348333333333334,39.010666666666665
2000-06-02,9.81,43.43,10.326666666666666,39.330333333333336
2000-06-03,9.44,46.06,9.987,39.625
2000-06-04,11.25,52.41,9.747666666666667,40.285666666666664
2000-06-05,7.36,45.56,9.474333333333332,40.785666666666664
2000-06-06,0.23,38.06,9.128666666666668,40.754999999999995
2000-06-07,5.6,33.7,9.276666666666667,40.501666666666665
2000-06-08,14.21,37.08,9.573,40.35633333333333
2000-06-09,4.68,40.46,9.425,40.43966666666666
2000-06-10,5.51,40.6,9.198333333333332,40.495000000000005
2000-06-11,4.72,32.5,8.860333333333333,40.593666666666664
2000-06-12,1.39,29.12,8.499333333333334,40.395999999999994
2000-06-13,5.05,31.85,8.408333333333333,39.95933333333333
2000-06-14,13.19,35.6,8.616666666666667,39.58433333333333
2000-06-15,9.86,45.93,8.601333333333335,40.07833333333334
2000-06-16,8.56,37.73,8.386666666666667,40.40266666666667
2000-06-17,11.53,44.07,8.232333333333333,40.62166666666667
2000-06-18,2.92,33.7,8.065666666666667,40.166333333333334
2000-06-19,13.52,40.37,8.397666666666668,40.02433333333333
2000-06-20,12.04,44.68,8.348333333333333,40.117
2000-06-21,8.06,36.34,8.232666666666667,39.94266666666667
2000-06-22,9.07,44.86,8.166333333333334,40.1
2000-06-23,13.19,47.08,8.470333333333333,40.117
2000-06-24,13.33,43.66,8.914666666666667,40.311666666666675
2000-06-25,8.43,37.04,8.897666666666668,40.311666666666675
2000-06-26,5.65,39.54,8.546,40.33633333333333
2000-06-27,2.82,41.76,8.404,40.166666666666664
2000-06-28,12.59,38.8,8.482666666666667,40.26866666666667
2000-06-29,13.47,33.38,8.877666666666666,39.991
2000-06-30,12.27,39.17,8.802,39.99866666666666
2000-07-01,14.68,43.38,8.814333333333334,39.93066666666667
2000-07-02,14.07,39.12,8.956333333333333,39.787
2000-07-03,11.57,34.72,9.027333333333333,39.409
2000-07-04,6.99,36.57,8.885333333333334,38.881
2000-07-05,7.45,35.93,8.888333333333332,38.559999999999995
2000-07-06,10.09,37.96,9.217,38.556666666666665
2000-07-07,10.14,46.76,9.368333333333334,38.992
