Date,education_index,healthcare_index,education_index_MA30,healthcare_index_MA30
2000-01-18,0.6144,0.677,,
2000-01-19,0.5836,0.6674,,
2000-01-20,0.5914,0.6399,,
2000-01-21,0.5993,0.6518,,
2000-01-22,0.6117,0.643,,
2000-01-23,0.5998,0.6376,,
2000-01-24,0.6013,0.6434,,
2000-01-25,0.612,0.6485,,
2000-01-26,0.6131,0.656,,
2000-01-27,0.6002,0.6587,,
2000-01-28,0.6009,0.6602,,
2000-01-29,0.6119,0.6454,,
2000-01-30,0.6074,0.6358,,
2000-01-31,0.5885,0.6377,,
2000-02-01,0.6009,0.6523,,
2000-02-02,0.6116,0.6596,,
2000-02-03,0.5989,0.6314,,
2000-02-04,0.5863,0.6571,,
2000-02-05,0.5812,0.6403,,
2000-02-06,0.5933,0.6364,,
2000-02-07,0.6092,0.6691,,
2000-02-08,0.6243,0.6618,,
2000-02-09,0.5967,0.6491,,
2000-02-10,0.5944,0.6584,,
2000-02-11,0.6291,0.6778,,
2000-02-12,0.5844,0.6537,,
2000-02-13,0.5722,0.6403,,
2000-02-14,0.5818,0.6641,,
2000-02-15,0.628,0.658,,
2000-02-16,0.6135,0.6484,0.6013766666666667,0.6520066666666666
2000-02-17,0.6017,0.6644,0.6009533333333333,0.6515866666666666
2000-02-18,0.5954,0.6711,0.6013466666666666,0.65171
2000-02-19,0.5852,0.6366,0.6011399999999999,0.6516
2000-02-20,0.5895,0.6561,0.6008133333333333,0.6517433333333335
2000-02-21,0.6107,0.6462,0.6007800000000001,0.65185
2000-02-22,0.5812,0.6491,0.60016,0.6522333333333333
2000-02-23,0.596,0.6887,0.5999833333333334,0.6537433333333333
2000-02-24,0.5921,0.6542,0.59932,0.6539333333333333
2000-02-25,0.5954,0.6435,0.59873,0.6535166666666666
2000-02-26,0.5824,0.6419,0.5981366666666666,0.6529566666666666
2000-02-27,0.5817,0.6544,0.5974966666666667,0.6527633333333334
2000-02-28,0.597,0.6592,0.597,0.6532233333333333
2000-02-29,0.6021,0.6625,0.5968233333333333,0.6541133333333333
2000-03-01,0.6082,0.6307,0.5974799999999999,0.6538800000000001
2000-03-02,0.6331,0.6557,0.5985533333333334,0.6539933333333334
2000-03-03,0.5944,0.6495,0.59798,0.6536566666666667
2000-03-04,0.5986,0.6421,0.59797,0.6540133333333333
2000-03-05,0.5713,0.6392,0.59747,0.6534166666666666
2000-03-06,0.5692,0.6522,0.59707,0.6538133333333334
2000-03-07,0.5866,0.641,0.5968466666666666,0.6539666666666667
2000-03-08,0.5748,0.6305,0.5957,0.65268
2000-03-09,0.5817,0.6568,0.59428,0.6525133333333333
2000-03-10,0.6023,0.6795,0.5944666666666667,0.6535266666666667
2000-03-11,0.6033,0.654,0.5947633333333333,0.6533800000000001
2000-03-12,0.6162,0.6465,0.5943333333333334,0.6523366666666667
2000-03-13,0.6025,0.6663,0.5949366666666667,0.6527566666666667
2000-03-14,0.5757,0.636,0.5950533333333333,0.6526133333333333
2000-03-15,0.6227,0.6404,0.5964166666666666,0.6518233333333333
2000-03-16,0.6127,0.6345,0.5959066666666666,0.6510400000000001
2000-03-17,0.6132,0.6364,0.5958966666666666,0.65064
2000-03-18,0.5618,0.6513,0.5945666666666667,0.6502033333333334
