Date,population_million,urbanization_pct,population_million_MA30,urbanization_pct_MA30
2000-01-05,26.5,58.73,,
2000-01-06,26.5,58.73,,
2000-01-07,26.5,58.73,,
2000-01-08,26.5,58.73,,
2000-01-09,26.5,58.73,,
2000-01-10,26.5,58.73,,
2000-01-11,26.5,58.73,,
2000-01-12,26.5,58.73,,
2000-01-13,26.5,58.73,,
2000-01-14,26.5,58.73,,
2000-01-18,26.5,50.77,,
2000-01-19,26.5,51.31,,
2000-01-20,26.5,54.31,,
2000-01-21,26.5,55.4,,
2000-01-22,26.5,53.83,,
2000-01-23,26.5,53.93,,
2000-01-24,26.5,50.15,,
2000-01-25,26.5,52.64,,
2000-01-26,26.5,54.18,,
2000-01-27,26.5,53.88,,
2000-01-28,26.49,52.28,,
2000-01-29,26.5,52.88,,
2000-01-30,26.5,55.4,,
2000-01-31,26.5,52.61,,
2000-02-01,26.5,53.77,,
2000-02-02,26.5,53.12,,
2000-02-03,26.5,53.42,,
2000-02-04,26.5,51.5,,
2000-02-05,26.5,53.2,,
2000-02-06,26.5,54.5,26.499666666666666,55.01266666666666
2000-02-07,26.5,53.12,26.499666666666666,54.82566666666666
2000-02-08,26.5,53.93,26.499666666666666,54.66566666666667
2000-02-09,26.5,52.01,26.499666666666666,54.44166666666667
2000-02-10,26.5,51.72,26.499666666666666,54.208
2000-02-11,26.5,54.21,26.499666666666666,54.057333333333325
2000-02-12,26.5,53.64,26.499666666666666,53.88766666666667
2000-02-13,26.5,55.8,26.499666666666666,53.79
2000-02-14,26.5,52.82,26.499666666666666,53.592999999999996
2000-02-15,26.5,51.31,26.499666666666666,53.34566666666667
2000-02-16,26.5,53.99,26.499666666666666,53.18766666666667
2000-02-17,26.5,55.83,26.499666666666666,53.35633333333333
2000-02-18,26.5,53.5,26.499666666666666,53.42933333333334
2000-02-19,26.5,53.5,26.499666666666666,53.40233333333333
2000-02-20,26.5,55.59,26.499666666666666,53.40866666666667
2000-02-21,26.5,55.37,26.499666666666666,53.46
2000-02-22,26.5,54.34,26.499666666666666,53.47366666666667
2000-02-23,26.5,51.55,26.499666666666666,53.52033333333333
2000-02-24,26.5,51.28,26.499666666666666,53.475
2000-02-25,26.5,53.5,26.499666666666666,53.45233333333333
2000-02-26,26.5,53.8,26.499666666666666,53.449666666666666
2000-02-27,26.5,53.88,26.5,53.503
2000-02-28,26.5,55.18,26.5,53.57966666666667
2000-02-29,26.5,53.88,26.5,53.528999999999996
2000-03-01,26.5,54.61,26.5,53.59566666666667
2000-03-02,26.5,53.69,26.5,53.593
2000-03-03,26.5,52.04,26.5,53.557
2000-03-04,26.5,55.21,26.5,53.61666666666667
2000-03-05,26.5,55.53,26.5,53.751
2000-03-06,26.5,54.96,26.5,53.80966666666667
2000-03-07,26.5,55.94,26.5,53.85766666666667
2000-03-08,26.5,54.37,26.5,53.89933333333333
2000-03-09,26.5,50.09,26.5,53.77133333333333
2000-03-10,26.5,53.18,26.5,53.81033333333333
2000-03-11,26.5,54.21,26.5,53.89333333333333
2000-03-12,26.5,52.69,26.5,53.84266666666667
2000-03-13,26.5,53.88,26.5,53.85066666666667
2000-03-14,26.5,53.28,26.5,53.766666666666666
2000-03-15,26.5,53.96,26.5,53.80466666666667
2000-03-16,26.5,53.93,26.5,53.892
2000-03-17,26.5,51.39,26.5,53.80533333333333
2000-03-18,26.5,56.1,26.5,53.81433333333334
2000-03-19,26.5,54.04,26.5,53.83233333333333
2000-03-20,26.5,54.69,26.5,53.872
