country_code,region,income_group,trade_balance_status,political_stability,economic_sector_dominant,currency_type,policy_framework,season,crisis_event,governance_quality,climate_impact_level,trade_bloc,financial_access,migration_trend,date,year,quarter,gdp_per_capita,inflation_rate,unemployment_rate,interest_rate,exchange_rate,exports_usd,imports_usd,debt_gdp_ratio,investment_pct_gdp,consumption_pct_gdp,population_million,urbanization_pct,internet_penetration,energy_consumption_mwh,renewable_energy_pct,income_inequality_gini,education_index,healthcare_index,poverty_rate,fdi_inflows_usd,business_confidence_index,manufacturing_pmi,economic_day_status
,Europe,,Deficit,,,Fiat,,Q1,,Low,High,ASEAN,High,Neutral,2000-01-01,2000,1,,2.3803987156413675,,,1.4802025997770276,,1248049.812898298,90.21938890612176,40.0,,,53.46201955828558,,,14.197201980597686,39.58160775183169,,,,,,,Low
C09,Europe,Upper-Middle,,Stable,Agriculture,Fiat,,Q1,,,Low,,High,,2000-01-02,2000,1,29952.27652580199,,,5.712709549384053,,,,,40.0,,,,,,0.2429766269045323,39.81182923665294,,,24.166698485376127,52958.56523207919,46.11555368042425,,Medium
C09,Europe,,,Stable,,Fiat,Mixed,Q1,None,,Low,ASEAN,,Outflow,2000-01-03,2000,1,,,,2.837933936879314,,,914870.691980827,76.8707030839602,,,,,,1628.8293407531544,,,0.6083047956078196,,,,50.25712437253824,,Low
C09,Europe,Upper-Middle,Deficit,Stable,Agriculture,Fiat,,,None,,High,ASEAN,,,,2000,1,,,,,1.662567333810712,,,,,,41.411551769491744,,,,,,0.5818633766623492,,,,,,Low
,,Upper-Middle,,Stable,,Fiat,Mixed,,,Medium,,ASEAN,,Outflow,2000-01-05,2000,1,,,,2.861697219485517,,,,,,59.98539701903471,,,,,,,0.5964187811475818,,,77085.81606178803,,,Medium
C09,Europe,Upper-Middle,,Stable,Agriculture,Fiat,,Q1,,Medium,Low,,Medium,,2000-01-06,2000,1,,,,,,,,,,,41.79387549539807,,,,14.309753969243756,,,,21.20467183728477,,46.81570926628947,50.41382915067456,Low
C09,,Upper-Middle,Deficit,,Agriculture,Fiat,,Q1,None,Low,Medium,ASEAN,Low,,2000-01-07,2000,1,30231.92398093457,,,4.172375864083969,1.380343734095412,,,,,,41.96181792329729,,53.43554866621821,,,31.008344974466464,,,,,49.31893300846633,,Medium
,,Upper-Middle,,,Agriculture,,Neoliberal,Q1,None,,Medium,,,,2000-01-08,2000,1,30691.69905978374,,,,1.5749890418087946,,,,40.0,,41.00859470532822,,,,,,,,,,48.63050282333709,,Low
C09,,,Surplus,Stable,Agriculture,Fiat,Keynesian,Q1,None,Low,Low,,High,,,2000,1,,,4.509031166574391,,,,1287612.4798455918,,40.0,59.85867560177526,,56.28132747595313,,,,38.34109545386679,0.5876294104002817,0.6617215597472675,,73649.18102751204,,,Low
,Europe,,Deficit,Stable,Agriculture,Fiat,Neoliberal,Q1,None,,High,ASEAN,Medium,,,2000,1,,,6.520236535729638,,,,791326.4523201413,,,,,,,1605.454291261251,,,,,,101290.66058475644,,53.70388228093551,Medium
C09,,Upper-Middle,Surplus,,Agriculture,Fiat,,Q1,None,,,ASEAN,Low,Neutral,,2000,1,,1.5797778431815075,6.4279953473329785,,1.331764561905484,1422445.1757721854,,77.98493012617487,,,,,,,8.67673375634676,,,,,,,,Low
C09,Europe,Upper-Middle,Surplus,Stable,,Fiat,,,None,Medium,High,,Medium,,2000-01-12,2000,1,,2.825961333857701,,,,,,,,60.16225855880053,41.96966557675199,55.28246192366547,,,,,,,,,51.691507388828654,,Low
,Europe,Upper-Middle,Neutral,,Agriculture,Fiat,Keynesian,,None,,Medium,ASEAN,Medium,Outflow,2000-01-13,2000,1,,,,6.518808494468701,,1071084.338375393,,46.18882679538677,,,,,,,,34.254023121889766,,,,,,,Low
,,,Surplus,Stable,Agriculture,,Socialist,Q1,None,Low,,ASEAN,Low,,2000-01-14,2000,1,,3.310079874827793,,,,943615.5556068902,,,,,,,,,,,,0.6413086204505888,23.75569711795397,,,,Low
,,Upper-Middle,Deficit,Stable,,Fiat,Neoliberal,Q1,None,Low,,,,Neutral,2000-01-15,2000,1,,,,4.201266317695346,,,,,,61.619928583851696,,,,,,,,,,75346.98021453341,50.28786102126938,52.94411589205348,Low
C09,,,Surplus,Stable,Agriculture,Fiat,Mixed,Q1,None,,High,,Medium,Inflow,2000-01-16,2000,1,,,,4.2214192990263015,,,,58.30526763565532,,,,53.14931521698966,,1607.8029581319877,,,0.6298851880536124,,,,,,Low
,Europe,,Deficit,Stable,Agriculture,Fiat,,,,,,ASEAN,Medium,Inflow,,2000,1,,,8.270435913778705,,1.3506845499324718,1254557.3269360852,1164751.5560305992,,,,,,,,,,,,,,,,Medium
,,,Deficit,Stable,Agriculture,Fiat,Neoliberal,Q1,None,Low,,ASEAN,Medium,Neutral,2000-01-18,2000,1,29920.570369651523,2.444266306045632,,,,,,54.85807042058891,,57.405961756766246,,,,,,,,,28.918926067268657,59063.07253606744,,,Low
,,,,Stable,Agriculture,,Neoliberal,Q1,None,Medium,Medium,ASEAN,Low,Outflow,2000-01-19,2000,1,30639.62603410203,,,,,,,,,,41.67306939555626,,,,,39.11980349380496,,,,,,,Low
C09,Europe,Upper-Middle,Surplus,Stable,Agriculture,Fiat,Socialist,Q1,None,,High,ASEAN,Low,,2000-01-20,2000,1,,,5.473166072238362,,,,,,,,,,43.99152063790218,,5.771160297414973,41.6200342048856,,,,,,52.24312821498594,Low
C09,Europe,,Deficit,,Agriculture,,Keynesian,,,,,ASEAN,,Outflow,2000-01-21,2000,1,,2.725684856981392,5.27831609882617,,,1195905.7018747092,,64.50363742752451,,57.648158522355416,,55.71428121306774,,,,,,,,93592.7929868136,,,Low
C09,,Upper-Middle,Surplus,,Agriculture,Fiat,Neoliberal,Q1,,,High,ASEAN,High,Inflow,2000-01-22,2000,1,,1.9780444469915404,3.586871750734764,,1.2841308791352517,,,,,,,58.93892792654745,,,,,0.607668354931498,0.6471470995766283,,58673.53114052122,48.54234130952899,,Low
,Europe,Upper-Middle,Surplus,Stable,,Fiat,Socialist,,,Medium,Low,,,,,2000,1,,4.19737941251664,,,,,,54.192048482284754,,,,,48.757163005221805,1593.653375103832,,,0.5959629267849476,,,,,,Medium
C09,Europe,Upper-Middle,Surplus,,Agriculture,Fiat,Mixed,Q1,None,Low,Low,ASEAN,High,Outflow,,2000,1,,,,4.367465502364468,,,,,,,,55.2013509128425,,,,,0.573108726774624,,,,48.036346612370735,,High
C09,Europe,,Neutral,Stable,Agriculture,,Neoliberal,,None,Medium,High,ASEAN,,Outflow,,2000,1,,,,4.853457438699244,,,964802.819387157,,,,,,,,,,0.6104895766891476,,,,,,Medium
C09,Europe,Upper-Middle,Deficit,Stable,,Fiat,Socialist,Q1,None,,Low,ASEAN,,Outflow,2000-01-26,2000,1,,3.8495873718839153,,5.566875020798826,1.5287684152972,,,,,58.9837332693641,,,38.63629754232001,,,,,,,68433.81509957378,,,Low
C09,,Upper-Middle,,Stable,Agriculture,Fiat,Socialist,Q1,None,Medium,High,,Medium,Inflow,2000-01-27,2000,1,,,,4.525662920149917,,,,,,,,,43.8553080272588,,,28.862825362153124,,,,,,,Low
C09,Europe,Upper-Middle,Surplus,Stable,,Fiat,Neoliberal,Q1,,Low,Low,ASEAN,Medium,Neutral,,2000,1,,2.083961261797565,,,,,981304.1027955308,52.43181548891711,,,,,,,,,,,25.745877376491183,,48.42318639445091,,Low
,,Upper-Middle,,Stable,Agriculture,Fiat,Socialist,,None,Medium,Low,ASEAN,,,,2000,1,,4.386107816353513,,,,,,,,,,55.91399645403565,,,,43.62772080601378,,0.6126915445937104,,,,,Medium
C09,Europe,Upper-Middle,Deficit,,,Fiat,Mixed,Q1,None,,Medium,,High,,,2000,1,,,,,,,,62.572042832725245,40.0,,,,,1700.5978627697527,,,,,,,,50.121518139959925,Low
C09,,Upper-Middle,Deficit,Stable,Agriculture,,Socialist,,,Medium,High,ASEAN,High,Outflow,2000-01-31,2000,1,,,,,,957621.968408772,1252160.855366337,,40.0,62.05557662142476,41.549098124070696,57.8863687800158,,,,,,,,,,51.688509655017896,Medium
C09,,Upper-Middle,,Stable,,Fiat,Keynesian,Q1,,Medium,Medium,ASEAN,High,Inflow,2000-02-01,2000,1,30502.57579686903,,,,,1175172.0875389415,,,,60.577493997644815,,54.72772885304712,,,6.023099266002858,,,,,,52.33768850738813,,Low
C09,,Upper-Middle,Surplus,Stable,Agriculture,,,,,Medium,Low,ASEAN,Medium,,2000-02-02,2000,1,,,,,,,,52.326692782420814,,,,,45.68273359173293,1585.679745552682,,,,0.6807660351488074,,,,,Medium
C09,Europe,,Surplus,Stable,Agriculture,Fiat,Keynesian,,None,Low,High,ASEAN,Medium,,2000-02-03,2000,1,,,,4.298337118940041,,1172703.2800765922,902327.3107926872,,,60.39226384221168,,,,,9.95781167891373,,,,,,,,Low
