Date,debt_gdp_ratio,debt_gdp_ratio_MA30
2000-01-19,53.36,
2000-01-19,52.93,
2000-01-19,52.51,
2000-01-19,52.08,
2000-01-19,51.65,
2000-01-19,51.3,
2000-01-19,50.62,
2000-01-19,49.8,
2000-01-20,62.05,
2000-01-20,59.67,
2000-01-20,57.03,
2000-01-20,54.47,
2000-01-20,52.83,
2000-01-20,48.95,
2000-01-20,50.23,
2000-01-20,47.98,
2000-01-20,48.27,
2000-01-20,48.95,
2000-01-20,51.58,
2000-01-21,64.72,
2000-01-21,61.02,
2000-01-21,62.19,
2000-01-21,63.48,
2000-01-21,65.97,
2000-01-21,66.0,
2000-01-21,67.04,
2000-01-21,64.69,
2000-01-21,63.4,
2000-01-21,66.65,
2000-01-22,51.37,56.42633333333333
2000-01-22,51.87,56.37666666666667
2000-01-22,52.58,56.365
2000-01-22,53.54,56.39933333333333
2000-01-22,54.5,56.480000000000004
2000-01-22,56.6,56.644999999999996
2000-01-22,57.71,56.858666666666664
2000-01-22,58.85,57.133
2000-01-22,59.95,57.47133333333333
2000-01-22,55.5,57.25300000000001
2000-01-23,58.21,57.20433333333333
2000-01-23,61.13,57.341
2000-01-23,60.41,57.539
2000-01-23,59.59,57.76433333333333
2000-01-23,56.57,58.01833333333333
2000-01-23,53.75,58.135666666666665
2000-01-23,54.96,58.36833333333333
2000-01-23,52.93,58.52366666666667
2000-01-23,52.12,58.62933333333333
2000-01-23,51.3,58.62
2000-01-24,48.38,58.07533333333333
2000-01-24,46.92,57.605333333333334
2000-01-24,47.27,57.108
2000-01-24,48.45,56.607
2000-01-24,49.66,56.06333333333334
2000-01-24,51.97,55.59566666666667
2000-01-24,54.25,55.169333333333334
2000-01-24,56.67,54.90200000000001
2000-01-24,58.1,54.72533333333333
2000-01-24,59.27,54.47933333333333
2000-01-24,60.45,54.782000000000004
2000-01-25,67.64,55.30766666666667
2000-01-25,66.18,55.760999999999996
2000-01-25,64.72,56.13366666666666
2000-01-25,63.26,56.425666666666665
2000-01-25,60.02,56.53966666666667
2000-01-25,54.15,56.42100000000001
2000-01-25,57.07,56.361666666666665
2000-01-25,51.33,56.074333333333335
2000-01-25,49.87,55.88666666666667
2000-01-25,61.8,56.00633333333334
2000-01-26,60.84,55.99666666666667
2000-01-26,68.39,56.26266666666667
2000-01-26,68.03,56.544
2000-01-26,67.64,56.913000000000004
2000-01-26,67.22,57.362
2000-01-26,66.43,57.74433333333333
2000-01-26,65.33,58.157666666666664
2000-01-26,64.19,58.56000000000001
2000-01-26,63.08,58.95266666666667
2000-01-26,61.94,59.40466666666667
2000-01-27,55.0,59.674
2000-01-27,53.54,59.883
2000-01-27,58.13,60.20566666666666
2000-01-27,56.46,60.43233333333333
