country_code,region,income_group,trade_balance_status,political_stability,economic_sector_dominant,currency_type,policy_framework,season,crisis_event,governance_quality,climate_impact_level,trade_bloc,financial_access,migration_trend,date,year,quarter,gdp_per_capita,inflation_rate,unemployment_rate,interest_rate,exchange_rate,exports_usd,imports_usd,debt_gdp_ratio,investment_pct_gdp,consumption_pct_gdp,population_million,urbanization_pct,internet_penetration,energy_consumption_mwh,renewable_energy_pct,income_inequality_gini,education_index,healthcare_index,poverty_rate,fdi_inflows_usd,business_confidence_index,manufacturing_pmi,economic_day_status
C10,Africa,,,Unstable,,Commodity-backed,,Q1,None,,Low,None,Medium,Inflow,2000-01-01,2000,1,,,,,1.9429696464354396,536833.3154853426,,62.031987388737605,12.905598556176413,,,,,,6.5753491217586175,,,0.6439764164555785,,,,,Low
C10,Africa,Lower-Middle,,Unstable,Industry,Commodity-backed,Neoliberal,,,Medium,Low,,,Neutral,2000-01-02,2000,1,18230.81537837347,3.609163775873443,,,,,,,,,,,,,,,0.5950536038111054,,,,,50.10754082034741,Low
C10,,Lower-Middle,Deficit,,Industry,Commodity-backed,Keynesian,,,High,High,,Medium,Inflow,,2000,1,,,7.833421357620068,4.212392140065893,,,,,,,30.052229657559987,,,1276.206091578189,,35.044202613177674,0.5533817320461745,,,,,,Low
C10,,Lower-Middle,,Unstable,Industry,,Keynesian,Q1,None,,,,,,2000-01-04,2000,1,,,,,2.240190111957141,,,,10.0,,29.77661635627291,,,1265.0700084206194,,,,,,,,,Medium
C10,,Lower-Middle,Deficit,,Industry,Commodity-backed,,Q1,None,Medium,Medium,None,,Inflow,,2000,1,17625.78487823082,,,,,471500.5019181637,,,10.0,,29.81297342893914,,,,,,,,,20606.156044505828,,,Low
C10,Africa,Lower-Middle,Surplus,,Industry,Commodity-backed,,Q1,None,,High,None,High,,2000-01-06,2000,1,,3.1486378692187498,,,,,,,13.518298152904483,74.1408941024381,,,,,,,,0.63539922128798,,27512.427775901542,,,Low
C10,,Lower-Middle,,,Industry,,Neoliberal,,,,High,,,,2000-01-07,2000,1,18473.390210661662,,,,,422568.9960042231,,,10.0,73.76908435822612,,,,,,,0.6083540853279411,,25.011625659295277,,48.90917946750116,,Medium
C10,Africa,Lower-Middle,Surplus,Moderate,Industry,,Mixed,Q1,,Medium,Medium,None,,Inflow,2000-01-08,2000,1,,,,,2.167261352760093,,,,,76.40065620821079,,,,1279.7857878545326,,47.83809043942148,,,,25191.550505410956,,46.78186813912362,Low
C10,Africa,Lower-Middle,Deficit,Unstable,Industry,Commodity-backed,Socialist,Q1,None,Medium,Low,,Low,Neutral,2000-01-09,2000,1,,,4.624952346362966,,,,,,,,,,,,,45.517814245234064,,,,,,,Medium
,Africa,Lower-Middle,,Unstable,,Commodity-backed,Socialist,,None,High,Low,None,Low,,2000-01-10,2000,1,19174.713298719063,3.6351722282265206,,,2.2757825214972485,555781.9548465419,,,,,,54.32465325613894,,,2.2969102301187503,45.36010981521309,,,23.784167930008675,,,,Low
,,Lower-Middle,,,Industry,Commodity-backed,Keynesian,,None,High,Low,None,,Neutral,2000-01-11,2000,1,,,,,2.08425970591437,,,,,,,53.34741977083661,,,10.686738975169815,45.737582007439606,0.6133983951563575,0.671122815755625,22.4645679066878,,,,Low
C10,Africa,,Neutral,Unstable,,Commodity-backed,,Q1,None,Medium,Low,,Low,,2000-01-12,2000,1,18158.98899246855,,5.875344096607958,,,,,,,70.50749841314122,30.32060185769352,54.30235416667976,,1269.7398749034217,,,,0.6574963249750735,,,,,Low
C10,Africa,,Deficit,Unstable,,Commodity-backed,Mixed,Q1,None,Medium,,,Medium,Neutral,,2000,1,,2.711210731240627,,,,474212.51499454543,466313.9206758776,,,,30.299352525356564,56.37852685298164,48.32958722757265,1221.7830889082982,5.700317534556596,,,,,,,55.43870964611332,Low
,,Lower-Middle,,,Industry,Commodity-backed,Mixed,Q1,None,High,Low,None,,Neutral,2000-01-14,2000,1,17142.743228709387,,4.199964229694871,5.8539747622438405,,,,,,,30.125028427283823,56.44624573506763,,,,,,,,,,,Medium
C10,Africa,Lower-Middle,,,,Commodity-backed,Socialist,,None,Medium,Low,None,,Inflow,,2000,1,,,,,,,,,,,,,40.32564435507846,,,37.34983490759173,,,,,,,Medium
C10,,Lower-Middle,Deficit,Unstable,Industry,,Socialist,Q1,,Medium,Low,None,High,,,2000,1,,,6.2091032242101445,,,,,,14.969307269260394,,,,47.335670074185714,,,,,,,,,47.875653008665246,Medium
,Africa,,Surplus,,Industry,Commodity-backed,Socialist,Q1,None,Medium,Medium,None,Medium,,2000-01-17,2000,1,,,,4.739235241708601,,,357957.25760532246,,,74.71767475338538,,53.47228590116385,,,,42.1801691660932,,,,,,47.13291464450813,Low
C10,Africa,Lower-Middle,,,Industry,Commodity-backed,Mixed,Q1,None,Medium,,,Low,Outflow,2000-01-18,2000,1,,,,6.134356938749543,,,472449.5935928825,55.14400088813634,,,,55.02619594892385,,,10.063330664971032,,,0.6812557059391599,,,,,Low
,,Lower-Middle,Neutral,,Industry,,,Q1,None,,Low,None,Medium,,,2000,1,,,,,,499115.1254926803,497784.63477878144,,,,30.085731322012705,58.2668089276752,,,,35.2574867578276,,,,,,,Low
C10,,Lower-Middle,Surplus,Unstable,Industry,Commodity-backed,Keynesian,Q1,None,High,Medium,None,Medium,,2000-01-20,2000,1,19342.31987009273,2.6638447713172364,,,,547768.5157677372,,,,74.37839526611099,,56.37319526126762,,,12.903040470825546,,,,,,,,Low
C10,Africa,Lower-Middle,,,Industry,Commodity-backed,Keynesian,Q1,None,Medium,Low,None,High,,2000-01-21,2000,1,,4.216288158284937,,,1.9543165253233667,,,,,,,,46.97996992570423,,,,,,,26088.469334291756,,,Low
C10,Africa,Lower-Middle,,,Industry,,Mixed,Q1,,High,Medium,,,,2000-01-22,2000,1,,,,5.201608097840216,,,,49.56649262285993,10.0,,,55.078473194158526,,,,37.28593484667886,,,,,,,Medium
C10,Africa,Lower-Middle,Deficit,,Industry,Commodity-backed,Neoliberal,Q1,None,Medium,,None,,Neutral,2000-01-23,2000,1,,,,4.231028522937361,,500779.6498074039,,,,,,,,,,48.87554710043146,,,27.386599759755423,,49.65545108958297,,Low
C10,Africa,Lower-Middle,Deficit,Unstable,,Commodity-backed,Mixed,Q1,None,,Medium,,Low,,2000-01-24,2000,1,,,,,,,,,10.0,,30.521330737235356,,,1270.797147528175,,,,,,,,,Low
C10,,Lower-Middle,,Unstable,Industry,Commodity-backed,Keynesian,,,Medium,Medium,None,High,,2000-01-25,2000,1,,,5.165646606662744,,2.0750983350593946,,,34.081319727601894,,,,,,1305.0479599480648,,,,0.6822567820948708,,,53.13732645569227,,Low
,,Lower-Middle,Deficit,Unstable,,Commodity-backed,,,None,Medium,,None,,Inflow,,2000,1,,,,,2.0301011076407534,610437.4130712692,,,,,,,,,16.8002471778984,,,0.6279322103848325,,,,49.6975357503481,Low
C10,Africa,Lower-Middle,,,,Commodity-backed,Mixed,,None,,Medium,,Medium,Neutral,2000-01-27,2000,1,,,,,,,,,,,,,,,,,,,24.6072860732318,,,,Low
C10,,Lower-Middle,Deficit,Moderate,,Commodity-backed,Keynesian,Q1,None,Medium,Medium,None,High,,2000-01-28,2000,1,,,5.575591759245895,4.814973544931295,,,,,,68.74978926758624,30.48553887636793,,,,,,,,,,48.79603087867211,48.95832398483084,Medium
