Date,energy_consumption_mwh,energy_consumption_mwh_MA30
2000-01-18,912.99,
2000-01-19,893.5,
2000-01-20,874.02,
2000-01-21,893.68,
2000-01-22,930.6,
2000-01-23,931.28,
2000-01-24,912.48,
2000-01-25,917.78,
2000-01-26,904.27,
2000-01-27,904.79,
2000-01-28,880.0,
2000-01-29,884.27,
2000-01-30,917.09,
2000-01-31,854.7,
2000-02-01,853.33,
2000-02-02,876.58,
2000-02-03,926.84,
2000-02-04,870.26,
2000-02-05,867.01,
2000-02-06,894.7,
2000-02-07,917.26,
2000-02-08,941.71,
2000-02-09,903.25,
2000-02-10,914.87,
2000-02-11,922.56,
2000-02-12,956.07,
2000-02-13,945.81,
2000-02-14,906.84,
2000-02-15,907.69,
2000-02-16,862.39,902.6206666666666
2000-02-17,846.15,900.3926666666666
2000-02-18,912.31,901.0196666666667
2000-02-19,901.54,901.937
2000-02-20,910.6,902.5010000000001
2000-02-21,899.32,901.4583333333334
2000-02-22,885.47,899.9313333333333
2000-02-23,889.74,899.1733333333334
2000-02-24,918.8,899.2073333333333
2000-02-25,922.74,899.8230000000001
2000-02-26,865.3,898.5066666666667
2000-02-27,848.03,897.441
2000-02-28,901.37,898.0110000000001
2000-02-29,896.75,897.3330000000001
2000-03-01,914.19,899.316
2000-03-02,889.91,900.5353333333334
2000-03-03,837.95,899.2476666666666
2000-03-04,880.17,897.6919999999999
2000-03-05,878.12,897.9540000000001
2000-03-06,898.63,899.0079999999999
2000-03-07,907.69,899.4410000000001
2000-03-08,877.61,898.1193333333333
2000-03-09,872.48,895.8116666666667
2000-03-10,892.48,895.4526666666667
2000-03-11,933.5,896.0736666666668
2000-03-12,900.0,895.3216666666667
2000-03-13,909.91,893.783
2000-03-14,913.85,892.7176666666667
2000-03-15,909.57,892.8086666666666
2000-03-16,914.7,893.0423333333333
2000-03-17,903.08,894.3986666666667
2000-03-18,938.63,897.4813333333333
2000-03-19,928.55,898.0226666666666
2000-03-20,893.85,897.7663333333334
2000-03-21,905.64,897.601
2000-03-22,866.5,896.507
2000-03-23,906.15,897.1963333333334
2000-03-24,896.58,897.4243333333333
2000-03-25,884.44,896.2790000000001
2000-03-26,926.32,896.3983333333333
2000-03-27,885.3,897.065
2000-03-28,906.32,899.008
2000-03-29,936.41,900.1759999999999
2000-03-30,920.17,900.9566666666666
2000-03-31,884.62,899.971
2000-04-01,896.75,900.1990000000001
2000-04-02,889.23,901.9083333333333
2000-04-03,856.24,901.1106666666667
2000-04-04,901.71,901.897
2000-04-05,918.12,902.5466666666667
2000-04-06,905.98,902.4896666666666
2000-04-07,885.47,902.7516666666668
2000-04-08,965.47,905.8513333333333
2000-04-09,964.79,908.2616666666667
2000-04-10,907.35,907.39
2000-04-11,936.75,908.615
2000-04-12,928.03,909.2189999999999
2000-04-13,900.68,908.7800000000001
2000-04-14,897.61,908.3813333333334
2000-04-15,891.11,907.5949999999999
2000-04-16,910.43,907.8399999999999
2000-04-17,938.46,907.8343333333335
2000-04-18,925.13,907.7203333333333
2000-04-19,959.49,909.9083333333333
2000-04-20,970.09,912.0566666666667
2000-04-21,906.67,913.3956666666667
2000-04-22,882.56,912.6093333333333
2000-04-23,888.89,912.353
2000-04-24,949.06,914.507
2000-04-25,946.84,915.191
2000-04-26,944.44,917.1623333333333
2000-04-27,883.59,916.4046666666667
2000-04-28,897.09,915.0939999999999
2000-04-29,877.61,913.6753333333334
2000-04-30,880.17,913.5269999999999
2000-05-01,891.45,913.3503333333333
2000-05-02,881.37,913.0883333333333
2000-05-03,893.16,914.319
2000-05-04,915.56,914.7806666666667
2000-05-05,906.84,914.4046666666667
2000-05-06,897.95,914.1370000000001
2000-05-07,927.86,915.55
2000-05-08,960.34,915.3790000000001
2000-05-09,930.26,914.228
2000-05-10,871.11,913.02
2000-05-11,875.38,910.9743333333333
2000-05-12,908.89,910.3363333333333
2000-05-13,848.21,908.5873333333333
2000-05-14,941.03,910.0346666666666
2000-05-15,940.34,911.6756666666666
2000-05-16,907.52,911.5786666666667
2000-05-17,897.78,910.2226666666667
2000-05-18,931.62,910.4390000000001
2000-05-19,942.39,909.869
2000-05-20,883.93,906.997
2000-05-21,900.68,906.7973333333334
2000-05-22,924.27,908.1876666666667
2000-05-23,968.03,910.8256666666667
2000-05-24,903.76,909.3156666666666
2000-05-25,884.96,907.253
2000-05-26,898.29,905.7146666666666
2000-05-27,901.54,906.313
2000-05-28,844.44,904.5580000000001
2000-05-29,886.84,904.8656666666667
2000-05-30,860.51,904.2103333333333
2000-05-31,873.68,903.618
2000-06-01,865.3,903.0823333333334
2000-06-02,928.21,904.2506666666666
2000-06-03,925.3,904.5753333333334
2000-06-04,900.51,904.3643333333333
2000-06-05,872.99,903.5323333333333
2000-06-06,888.21,902.2106666666666
2000-06-07,898.29,900.1423333333333
2000-06-08,902.56,899.2189999999999
2000-06-09,870.43,899.1963333333333
2000-06-10,913.5,900.467
2000-06-11,934.7,901.3273333333333
2000-06-12,912.48,903.4696666666666
2000-06-13,861.54,900.82
2000-06-14,878.97,898.7743333333333
2000-06-15,925.47,899.3726666666666
2000-06-16,903.93,899.5776666666666
2000-06-17,907.52,898.7743333333333
2000-06-18,900.51,897.3783333333333
2000-06-19,955.56,899.766
2000-06-20,883.93,899.2076666666667
2000-06-21,856.07,896.9343333333333
2000-06-22,861.2,893.3733333333333
2000-06-23,918.12,893.8520000000001
2000-06-24,928.38,895.2993333333333
2000-06-25,889.23,894.9973333333334
2000-06-26,885.64,894.4673333333334
2000-06-27,948.72,897.9433333333333
2000-06-28,889.91,898.0456666666666
2000-06-29,878.97,898.661
2000-06-30,877.44,898.7863333333333
2000-07-01,975.38,902.4556666666667
2000-07-02,943.76,902.974
2000-07-03,868.03,901.0649999999999
2000-07-04,905.47,901.2303333333333
2000-07-05,916.58,902.6833333333333
2000-07-06,899.49,903.0593333333333
2000-07-07,955.73,904.9739999999999
2000-07-08,908.38,905.168
2000-07-09,888.03,905.7546666666666
2000-07-10,917.61,905.8916666666667
2000-07-11,901.03,904.7693333333333
2000-07-12,933.85,905.4816666666667
2000-07-13,948.72,908.3876666666666
2000-07-14,917.95,909.687
2000-07-15,922.74,909.596
2000-07-16,921.54,910.1830000000001
2000-07-17,904.79,910.092
2000-07-18,902.74,910.1663333333333
2000-07-19,865.47,907.1633333333334
2000-07-20,876.07,906.9013333333334
2000-07-21,898.29,908.3086666666666
2000-07-22,921.71,910.3256666666667
2000-07-23,903.25,909.83
2000-07-24,903.76,909.0093333333333
2000-07-25,903.42,909.4823333333334
2000-07-26,940.51,911.3113333333333
2000-07-27,901.37,909.733
2000-07-28,899.15,910.0409999999999
2000-07-29,930.6,911.7620000000001
2000-07-30,940.17,913.853
2000-07-31,919.66,911.9956666666666
2000-08-01,922.05,911.272
2000-08-02,884.27,911.8133333333334
2000-08-03,918.8,912.2576666666666
2000-08-04,880.51,911.0553333333334
