Date,business_confidence_index,manufacturing_pmi,business_confidence_index_MA30,manufacturing_pmi_MA30
2000-01-18,48.85,51.87,,
2000-01-19,47.68,50.81,,
2000-01-20,47.55,48.65,,
2000-01-21,50.77,48.5,,
2000-01-22,48.56,50.08,,
2000-01-23,49.96,51.44,,
2000-01-24,48.81,50.83,,
2000-01-25,48.5,51.74,,
2000-01-26,47.27,51.85,,
2000-01-27,47.74,49.57,,
2000-01-28,51.83,48.86,,
2000-01-29,51.39,50.22,,
2000-01-30,47.82,50.61,,
2000-01-31,50.98,50.3,,
2000-02-01,49.26,49.6,,
2000-02-02,49.95,47.37,,
2000-02-03,49.05,52.66,,
2000-02-04,47.8,52.03,,
2000-02-05,48.76,49.44,,
2000-02-06,51.67,49.82,,
2000-02-07,53.61,49.3,,
2000-02-08,50.76,49.8,,
2000-02-09,48.5,49.96,,
2000-02-10,49.75,48.91,,
2000-02-11,48.79,49.12,,
2000-02-12,51.23,49.55,,
2000-02-13,49.83,50.62,,
2000-02-14,49.73,51.26,,
2000-02-15,48.3,50.79,,
2000-02-16,50.47,49.2,49.50566666666667,50.15866666666667
2000-02-17,52.88,49.12,49.64,50.067
2000-02-18,49.41,48.81,49.69766666666667,50.00033333333333
2000-02-19,50.31,48.48,49.78966666666667,49.994666666666674
2000-02-20,51.65,47.9,49.819,49.974666666666664
2000-02-21,51.38,51.27,49.913,50.014333333333326
2000-02-22,50.93,52.02,49.94533333333333,50.03366666666667
2000-02-23,51.65,52.49,50.03999999999999,50.08899999999999
2000-02-24,51.12,50.52,50.12733333333333,50.048333333333325
2000-02-25,50.63,47.77,50.23933333333333,49.91233333333333
2000-02-26,51.63,48.91,50.369,49.89033333333334
2000-02-27,52.17,49.77,50.38033333333333,49.92066666666666
2000-02-28,50.42,48.09,50.34799999999999,49.849666666666664
2000-02-29,52.38,47.67,50.5,49.751666666666665
2000-03-01,52.9,49.68,50.564,49.731
2000-03-02,50.17,51.79,50.59433333333333,49.803999999999995
2000-03-03,53.66,51.62,50.717999999999996,49.94566666666667
2000-03-04,52.4,53.55,50.82966666666666,49.97533333333333
2000-03-05,51.31,50.56,50.94666666666667,49.92633333333333
