Date,education_index,healthcare_index,education_index_MA30,healthcare_index_MA30
2000-01-18,0.62,0.62,,
2000-01-19,0.6,0.62,,
2000-01-20,0.58,0.63,,
2000-01-21,0.59,0.65,,
2000-01-22,0.59,0.64,,
2000-01-23,0.6,0.63,,
2000-01-24,0.6,0.62,,
2000-01-25,0.6,0.64,,
2000-01-26,0.6,0.65,,
2000-01-27,0.58,0.65,,
2000-01-28,0.59,0.65,,
2000-01-29,0.59,0.65,,
2000-01-30,0.61,0.65,,
2000-01-31,0.59,0.66,,
2000-02-01,0.59,0.64,,
2000-02-02,0.6,0.67,,
2000-02-03,0.61,0.65,,
2000-02-04,0.6,0.67,,
2000-02-05,0.6,0.66,,
2000-02-06,0.61,0.65,,
2000-02-07,0.6,0.65,,
2000-02-08,0.59,0.64,,
2000-02-09,0.6,0.66,,
2000-02-10,0.6,0.65,,
2000-02-11,0.62,0.66,,
2000-02-12,0.59,0.64,,
2000-02-13,0.61,0.64,,
2000-02-14,0.6,0.64,,
2000-02-15,0.6,0.64,,
2000-02-16,0.62,0.65,0.5993333333333334,0.6456666666666667
2000-02-17,0.61,0.66,0.599,0.647
2000-02-18,0.59,0.64,0.5986666666666667,0.6476666666666667
2000-02-19,0.59,0.62,0.599,0.6473333333333333
2000-02-20,0.61,0.62,0.5996666666666666,0.6463333333333333
2000-02-21,0.6,0.65,0.6,0.6466666666666667
2000-02-22,0.62,0.65,0.6006666666666667,0.6473333333333334
2000-02-23,0.63,0.65,0.6016666666666667,0.6483333333333333
2000-02-24,0.6,0.64,0.6016666666666666,0.6483333333333333
2000-02-25,0.6,0.64,0.6016666666666667,0.648
2000-02-26,0.6,0.64,0.6023333333333333,0.6476666666666666
2000-02-27,0.59,0.64,0.6023333333333333,0.6473333333333334
2000-02-28,0.61,0.64,0.603,0.6470000000000001
2000-02-29,0.59,0.65,0.6023333333333334,0.647
2000-03-01,0.59,0.65,0.6023333333333334,0.6466666666666666
2000-03-02,0.59,0.62,0.6023333333333334,0.646
2000-03-03,0.59,0.64,0.602,0.645
2000-03-04,0.6,0.63,0.6016666666666666,0.6443333333333333
2000-03-05,0.59,0.66,0.6013333333333333,0.644
2000-03-06,0.6,0.68,0.6013333333333333,0.6446666666666666
2000-03-07,0.63,0.67,0.602,0.6453333333333333
2000-03-08,0.6,0.65,0.602,0.6453333333333333
2000-03-09,0.59,0.65,0.602,0.6456666666666667
2000-03-10,0.59,0.68,0.6016666666666667,0.6463333333333333
2000-03-11,0.6,0.65,0.6016666666666666,0.6463333333333333
2000-03-12,0.59,0.65,0.6006666666666667,0.6460000000000001
2000-03-13,0.61,0.65,0.6013333333333333,0.6463333333333333
2000-03-14,0.59,0.65,0.6006666666666667,0.6466666666666666
2000-03-15,0.61,0.65,0.6010000000000001,0.647
2000-03-16,0.62,0.64,0.6016666666666667,0.6470000000000001
2000-03-17,0.62,0.66,0.6016666666666666,0.6473333333333334
2000-03-18,0.57,0.63,0.6003333333333333,0.6463333333333333
2000-03-19,0.59,0.64,0.6003333333333333,0.6463333333333333
2000-03-20,0.58,0.63,0.6,0.6466666666666667
2000-03-21,0.6,0.65,0.5996666666666666,0.6476666666666666
2000-03-22,0.62,0.67,0.6003333333333333,0.6483333333333333
2000-03-23,0.6,0.67,0.5996666666666667,0.6489999999999999
2000-03-24,0.62,0.64,0.5993333333333333,0.6486666666666667
2000-03-25,0.6,0.64,0.5993333333333334,0.6486666666666667
2000-03-26,0.61,0.67,0.5996666666666666,0.6496666666666667
2000-03-27,0.59,0.64,0.5993333333333334,0.6496666666666667
2000-03-28,0.6,0.67,0.5996666666666667,0.6506666666666666
2000-03-29,0.6,0.65,0.5993333333333333,0.6509999999999999
2000-03-30,0.59,0.67,0.5993333333333333,0.6516666666666667
2000-03-31,0.61,0.64,0.6,0.6513333333333334
2000-04-01,0.6,0.64,0.6003333333333333,0.652
2000-04-02,0.59,0.65,0.6003333333333333,0.6523333333333333
2000-04-03,0.6,0.64,0.6003333333333334,0.6526666666666667
2000-04-04,0.6,0.65,0.6006666666666667,0.6523333333333333
2000-04-05,0.6,0.65,0.6006666666666667,0.6513333333333334
2000-04-06,0.59,0.65,0.5993333333333334,0.6506666666666666
2000-04-07,0.6,0.65,0.5993333333333334,0.6506666666666667
2000-04-08,0.6,0.65,0.5996666666666666,0.6506666666666666
2000-04-09,0.62,0.66,0.6006666666666667,0.65
2000-04-10,0.62,0.64,0.6013333333333334,0.6496666666666667
2000-04-11,0.63,0.62,0.6026666666666666,0.6486666666666666
2000-04-12,0.61,0.62,0.6026666666666666,0.6476666666666666
2000-04-13,0.59,0.64,0.6026666666666666,0.6473333333333334
2000-04-14,0.61,0.64,0.6026666666666666,0.647
2000-04-15,0.58,0.65,0.6013333333333333,0.6473333333333333
2000-04-16,0.61,0.64,0.6010000000000001,0.6466666666666666
2000-04-17,0.62,0.64,0.6026666666666667,0.647
2000-04-18,0.59,0.66,0.6026666666666667,0.6476666666666666
2000-04-19,0.58,0.63,0.6026666666666666,0.6476666666666666
2000-04-20,0.58,0.63,0.6020000000000001,0.6470000000000001
2000-04-21,0.6,0.63,0.6013333333333333,0.6456666666666667
2000-04-22,0.59,0.65,0.6009999999999999,0.645
2000-04-23,0.59,0.65,0.6,0.6453333333333334
2000-04-24,0.6,0.67,0.6,0.6463333333333333
2000-04-25,0.61,0.66,0.6,0.646
2000-04-26,0.59,0.65,0.6,0.6463333333333333
2000-04-27,0.61,0.64,0.6003333333333333,0.6453333333333333
2000-04-28,0.6,0.64,0.6003333333333334,0.645
2000-04-29,0.59,0.63,0.6003333333333334,0.6436666666666666
2000-04-30,0.61,0.65,0.6003333333333333,0.644
2000-05-01,0.63,0.65,0.6013333333333333,0.6443333333333333
2000-05-02,0.61,0.64,0.602,0.644
2000-05-03,0.59,0.66,0.6016666666666666,0.6446666666666666
2000-05-04,0.59,0.65,0.6013333333333333,0.6446666666666668
2000-05-05,0.59,0.65,0.6009999999999999,0.6446666666666666
2000-05-06,0.59,0.64,0.6009999999999999,0.6443333333333334
2000-05-07,0.59,0.64,0.6006666666666666,0.644
2000-05-08,0.61,0.62,0.6010000000000001,0.643
2000-05-09,0.61,0.62,0.6006666666666667,0.6416666666666667
2000-05-10,0.61,0.65,0.6003333333333333,0.6419999999999999
2000-05-11,0.6,0.65,0.5993333333333334,0.6430000000000001
2000-05-12,0.63,0.66,0.6,0.6443333333333334
2000-05-13,0.6,0.64,0.6003333333333333,0.6443333333333334
2000-05-14,0.58,0.61,0.5993333333333334,0.6433333333333333
2000-05-15,0.61,0.63,0.6003333333333333,0.6426666666666667
2000-05-16,0.62,0.65,0.6006666666666667,0.643
2000-05-17,0.63,0.66,0.6009999999999999,0.6436666666666666
2000-05-18,0.6,0.65,0.6013333333333333,0.6433333333333333
2000-05-19,0.61,0.63,0.6023333333333334,0.6433333333333333
2000-05-20,0.6,0.63,0.603,0.6433333333333333
2000-05-21,0.6,0.67,0.603,0.6446666666666666
2000-05-22,0.59,0.68,0.603,0.6456666666666667
2000-05-23,0.61,0.64,0.6036666666666667,0.6453333333333333
2000-05-24,0.59,0.63,0.6033333333333333,0.644
2000-05-25,0.62,0.63,0.6036666666666667,0.643
2000-05-26,0.61,0.65,0.6043333333333333,0.6430000000000001
2000-05-27,0.61,0.66,0.6043333333333333,0.6436666666666667
2000-05-28,0.6,0.66,0.6043333333333333,0.6443333333333334
2000-05-29,0.61,0.65,0.605,0.645
2000-05-30,0.59,0.65,0.6043333333333333,0.645
2000-05-31,0.59,0.64,0.603,0.6446666666666666
2000-06-01,0.61,0.64,0.603,0.6446666666666666
2000-06-02,0.59,0.64,0.603,0.644
2000-06-03,0.6,0.65,0.6033333333333334,0.6440000000000001
2000-06-04,0.61,0.64,0.604,0.6436666666666666
2000-06-05,0.62,0.63,0.6050000000000001,0.6433333333333333
2000-06-06,0.61,0.64,0.6056666666666667,0.6433333333333333
2000-06-07,0.62,0.66,0.606,0.6446666666666668
2000-06-08,0.6,0.66,0.6056666666666666,0.646
2000-06-09,0.59,0.64,0.605,0.6456666666666667
2000-06-10,0.61,0.62,0.6053333333333332,0.6446666666666666
2000-06-11,0.61,0.64,0.6046666666666667,0.644
2000-06-12,0.61,0.67,0.6050000000000001,0.6449999999999999
2000-06-13,0.59,0.66,0.6053333333333334,0.6466666666666666
2000-06-14,0.61,0.65,0.6053333333333334,0.6473333333333334
2000-06-15,0.62,0.63,0.6053333333333334,0.6466666666666667
2000-06-16,0.6,0.66,0.6043333333333333,0.6466666666666667
2000-06-17,0.59,0.65,0.6039999999999999,0.6466666666666666
2000-06-18,0.61,0.63,0.6039999999999999,0.6466666666666667
2000-06-19,0.59,0.64,0.6036666666666667,0.6470000000000001
2000-06-20,0.62,0.63,0.6043333333333333,0.6456666666666667
2000-06-21,0.6,0.64,0.6046666666666667,0.6443333333333334
2000-06-22,0.59,0.63,0.604,0.644
2000-06-23,0.61,0.64,0.6046666666666667,0.6443333333333334
2000-06-24,0.6,0.67,0.6039999999999999,0.6456666666666667
