Date,energy_consumption_mwh,energy_consumption_mwh_MA7,energy_consumption_mwh_MA30
2000-01-21,1076.03,1076.03,1076.03
2000-01-22,1073.12,1074.5749999999998,1074.5749999999998
2000-01-23,1114.04,1087.7299999999998,1087.7299999999998
2000-01-24,1110.96,1093.5375,1093.5375
2000-01-25,1089.21,1092.672,1092.672
2000-01-26,1097.95,1093.5516666666665,1093.5516666666665
2000-01-27,1092.81,1093.4457142857143,1093.4457142857143
2000-01-28,1041.78,1088.5528571428572,1086.9875
2000-01-29,1055.65,1086.057142857143,1083.5055555555555
2000-01-30,1058.9,1078.18,1081.045
2000-01-31,1056.68,1070.4257142857143,1078.8300000000002
2000-02-01,1060.1,1066.267142857143,1077.2691666666667
2000-02-02,1104.97,1067.27,1079.4
2000-02-03,1109.93,1069.7157142857143,1081.5807142857143
2000-02-04,1108.05,1079.1828571428573,1083.3453333333334
2000-02-05,1087.84,1083.7814285714285,1083.62625
2000-02-06,1064.21,1084.5400000000002,1082.4841176470588
2000-02-07,1063.18,1085.4685714285713,1081.4116666666666
2000-02-08,1058.9,1085.297142857143,1080.2268421052631
2000-02-09,1032.36,1074.9242857142858,1077.8335
2000-02-10,1038.7,1064.7485714285715,1075.97
2000-02-11,1062.84,1058.29,1075.3731818181818
2000-02-12,1041.61,1051.6857142857143,1073.9052173913044
2000-02-13,1062.33,1051.4171428571428,1073.4229166666667
2000-02-14,1090.58,1055.3314285714284,1074.1091999999999
2000-02-15,1048.8,1053.8885714285714,1073.1357692307693
2000-02-16,1045.38,1055.7485714285715,1072.1077777777778
2000-02-17,1041.27,1056.1157142857141,1071.0064285714286
2000-02-18,1085.1,1059.2957142857142,1071.4924137931034
2000-02-19,1088.01,1065.9242857142858,1072.0430000000001
2000-02-20,1133.05,1076.027142857143,1073.9436666666668
2000-02-21,1063.87,1072.2114285714285,1073.6353333333332
2000-02-22,1063.53,1074.3157142857142,1071.9516666666666
2000-02-23,1074.14,1078.4242857142856,1070.7243333333333
2000-02-24,1069.35,1082.435714285714,1070.0623333333333
2000-02-25,1052.4,1077.7642857142857,1068.544
