Date,consumption_pct_gdp,consumption_pct_gdp_MA7,consumption_pct_gdp_MA30
2000-01-21,60.9,60.9,60.9
2000-01-22,60.82,60.86,60.86
2000-01-23,60.78,60.833333333333336,60.833333333333336
2000-01-24,60.32,60.705,60.705
2000-01-25,59.63,60.489999999999995,60.489999999999995
2000-01-26,60.21,60.443333333333335,60.443333333333335
2000-01-27,60.02,60.38285714285714,60.38285714285714
2000-01-28,60.58,60.33714285714286,60.4075
2000-01-29,59.46,60.142857142857146,60.30222222222223
2000-01-30,60.89,60.15857142857143,60.361000000000004
2000-01-31,61.38,60.31,60.45363636363636
2000-02-01,61.48,60.57428571428572,60.53916666666667
2000-02-02,62.28,60.87,60.67307692307692
2000-02-03,60.01,60.86857142857143,60.62571428571429
2000-02-04,59.64,60.73428571428571,60.559999999999995
2000-02-05,59.08,60.68,60.4675
2000-02-06,57.97,60.262857142857136,60.32058823529412
2000-02-07,57.8,59.75142857142857,60.18055555555556
2000-02-08,58.91,59.3842857142857,60.11368421052632
2000-02-09,59.12,58.93285714285714,60.064
2000-02-10,60.6,59.01714285714286,60.08952380952381
2000-02-11,61.03,59.215714285714284,60.13227272727273
2000-02-12,61.0,59.489999999999995,60.17
2000-02-13,60.03,59.784285714285716,60.16416666666667
2000-02-14,61.88,60.36714285714286,60.2328
2000-02-15,61.49,60.73571428571428,60.28115384615384
2000-02-16,61.38,61.05857142857143,60.321851851851854
2000-02-17,60.64,61.06428571428571,60.333214285714284
2000-02-18,59.53,60.85,60.305517241379306
2000-02-19,59.22,60.59571428571429,60.26933333333333
2000-02-20,60.01,60.59285714285714,60.23966666666666
2000-02-21,59.62,60.269999999999996,60.199666666666666
2000-02-22,61.38,60.25428571428571,60.21966666666666
2000-02-23,61.91,60.33,60.272666666666666
2000-02-24,61.05,60.38857142857143,60.32
2000-02-25,61.24,60.63285714285714,60.35433333333333
2000-02-26,59.81,60.71714285714286,60.34733333333333
2000-02-27,59.13,60.59142857142857,60.299
2000-02-28,59.02,60.50571428571429,60.28433333333333
2000-02-29,60.91,60.43857142857143,60.285000000000004
2000-03-01,61.47,60.37571428571429,60.288000000000004
2000-03-02,61.02,60.371428571428574,60.272666666666666
2000-03-03,60.49,60.26428571428571,60.213
2000-03-04,57.55,59.94142857142857,60.131
2000-03-05,61.54,60.285714285714285,60.19433333333333
2000-03-06,60.78,60.537142857142854,60.251
2000-03-07,59.15,60.285714285714285,60.290333333333336
2000-03-08,58.34,59.83857142857143,60.30833333333333
2000-03-09,58.75,59.51428571428572,60.303
2000-03-10,58.81,59.27428571428572,60.29266666666667
2000-03-11,59.12,59.49857142857143,60.24333333333333
2000-03-12,61.42,59.48142857142857,60.25633333333333
2000-03-13,60.74,59.47571428571429,60.24766666666666
2000-03-14,58.51,59.38428571428572,60.196999999999996
2000-03-15,58.33,59.38285714285714,60.07866666666667
2000-03-16,57.56,59.212857142857146,59.94766666666667
2000-03-17,57.25,58.99,59.809999999999995
2000-03-18,58.57,58.91142857142857,59.741
2000-03-19,58.8,58.537142857142854,59.71666666666667
2000-03-20,59.25,58.324285714285715,59.717666666666666
2000-03-21,60.75,58.644285714285715,59.742333333333335
2000-03-22,61.61,59.112857142857145,59.80866666666667
2000-03-23,61.61,59.69142857142857,59.81633333333333
2000-03-24,57.65,59.74857142857143,59.67433333333334
2000-03-25,62.41,60.29714285714285,59.71966666666667
2000-03-26,63.18,60.92285714285714,59.78433333333333
2000-03-27,62.46,61.381428571428565,59.87266666666667
2000-03-28,57.76,60.95428571428572,59.827
2000-03-29,58.67,60.53428571428571,59.815333333333335
2000-03-30,58.58,60.10142857142858,59.73766666666666
2000-03-31,57.39,60.06428571428571,59.60166666666667
2000-04-01,61.98,60.00285714285714,59.63366666666666
2000-04-02,59.08,59.417142857142856,59.586666666666666
2000-04-03,58.65,58.87285714285714,59.623333333333335
2000-04-04,55.33,58.52571428571428,59.416333333333334
2000-04-05,57.08,58.298571428571435,59.293
2000-04-06,58.35,58.26571428571428,59.266333333333336
2000-04-07,58.2,58.381428571428565,59.26166666666666
2000-04-08,59.83,58.074285714285715,59.29766666666667
2000-04-09,59.54,58.13999999999999,59.322
2000-04-10,58.43,58.10857142857143,59.299
2000-04-11,58.68,58.58714285714286,59.20766666666667
2000-04-12,59.77,58.97142857142857,59.175333333333334
2000-04-13,58.22,58.95285714285715,59.16566666666667
2000-04-14,59.21,59.097142857142856,59.195
2000-04-15,59.84,59.098571428571425,59.270999999999994
2000-04-16,59.18,59.047142857142866,59.33533333333333
2000-04-17,58.83,59.104285714285716,59.34400000000001
2000-04-18,58.56,59.08714285714286,59.336000000000006
