Date,debt_gdp_ratio,debt_gdp_ratio_MA7,debt_gdp_ratio_MA30
2000-01-21,66.34,66.34,66.34
2000-01-22,66.79,66.565,66.565
2000-01-23,66.64,66.59,66.59
2000-01-24,65.06,66.20750000000001,66.20750000000001
2000-01-25,63.1,65.586,65.586
2000-01-26,68.83,66.12666666666667,66.12666666666667
2000-01-27,51.46,64.03142857142858,64.03142857142858
2000-01-28,57.41,62.755714285714284,63.20375
2000-01-29,62.95,62.20714285714286,63.17555555555556
2000-01-30,50.45,59.89428571428572,61.903
2000-01-31,58.73,58.99000000000001,61.61454545454546
2000-02-01,65.82,59.378571428571426,61.965
2000-02-02,61.75,58.367142857142845,61.948461538461544
2000-02-03,58.02,59.30428571428571,61.667857142857144
2000-02-04,61.03,59.82142857142857,61.62533333333333
2000-02-05,61.93,59.67571428571428,61.644375000000004
2000-02-06,62.09,61.33857142857143,61.670588235294126
2000-02-07,68.0,62.66285714285714,62.022222222222226
2000-02-08,63.59,62.34428571428572,62.10473684210526
2000-02-09,69.09,63.392857142857146,62.45399999999999
2000-02-10,70.22,65.13571428571429,62.82380952380952
2000-02-11,64.5,65.63142857142857,62.9
2000-02-12,61.9,65.62714285714286,62.856521739130436
2000-02-13,63.14,65.77714285714286,62.86833333333333
2000-02-14,73.16,66.51428571428572,63.28
2000-02-15,63.71,66.53142857142858,63.29653846153846
2000-02-16,58.81,65.06285714285714,63.13037037037037
2000-02-17,51.84,62.43714285714286,62.72714285714286
2000-02-18,63.33,62.27,62.74793103448276
2000-02-19,53.01,61.0,62.42333333333333
2000-02-20,54.82,59.81142857142857,62.03933333333334
2000-02-21,62.39,58.27285714285714,61.89266666666666
2000-02-22,64.95,58.449999999999996,61.836333333333336
2000-02-23,62.8,59.019999999999996,61.761
2000-02-24,65.74,61.00571428571429,61.849000000000004
2000-02-25,64.68,61.19857142857143,61.710666666666675
2000-02-26,68.75,63.44714285714286,62.287000000000006
2000-02-27,61.9,64.45857142857143,62.43666666666666
2000-02-28,69.47,65.47,62.654
2000-02-29,66.64,65.71142857142857,63.19366666666667
2000-03-01,62.42,65.65714285714286,63.31666666666667
2000-03-02,71.8,66.52285714285715,63.516
2000-03-03,65.1,66.58285714285714,63.62766666666667
2000-03-04,53.61,64.42,63.48066666666667
2000-03-05,56.55,63.65571428571429,63.331333333333326
2000-03-06,56.62,61.82,63.154333333333334
2000-03-07,67.81,61.98714285714285,63.345
2000-03-08,70.45,63.13428571428572,63.42666666666666
2000-03-09,53.35,60.498571428571424,63.08533333333333
2000-03-10,50.41,58.4,62.46266666666667
2000-03-11,68.75,60.56285714285714,62.41366666666667
2000-03-12,65.85,61.89142857142857,62.458666666666666
2000-03-13,56.92,61.93428571428571,62.29266666666667
2000-03-14,55.46,60.17000000000001,62.03666666666667
2000-03-15,64.5,59.32,61.748000000000005
2000-03-16,67.85,61.39142857142857,61.885999999999996
2000-03-17,70.94,64.32428571428571,62.290333333333336
2000-03-18,63.86,63.62571428571429,62.690999999999995
2000-03-19,50.97,61.49999999999999,62.278999999999996
2000-03-20,58.43,61.715714285714284,62.459666666666664
2000-03-21,66.34,63.269999999999996,62.843666666666664
2000-03-22,55.49,61.982857142857135,62.61366666666666
2000-03-23,64.08,61.44428571428572,62.584666666666664
2000-03-24,60.16,59.90428571428571,62.49666666666666
2000-03-25,48.03,57.642857142857146,61.90633333333333
2000-03-26,54.36,58.12714285714286,61.56233333333333
2000-03-27,70.67,59.87571428571429,61.626333333333335
2000-03-28,71.24,60.575714285714284,61.937666666666665
2000-03-29,61.75,61.470000000000006,61.68033333333333
2000-03-30,70.6,62.401428571428575,61.81233333333333
2000-03-31,68.04,63.527142857142856,61.99966666666667
2000-04-01,62.88,65.64857142857143,61.702333333333335
2000-04-02,70.41,67.94142857142857,61.87933333333333
2000-04-03,64.8,67.10285714285713,62.25233333333333
2000-04-04,53.38,64.55142857142856,62.14666666666667
2000-04-05,60.8,64.41571428571429,62.285999999999994
2000-04-06,60.28,62.941428571428574,62.035
2000-04-07,51.31,60.55142857142857,61.397
2000-04-08,52.67,59.09285714285714,61.37433333333333
2000-04-09,51.73,56.424285714285716,61.41833333333333
2000-04-10,60.32,55.784285714285716,61.13733333333333
2000-04-11,71.28,58.34142857142857,61.318333333333335
2000-04-12,63.14,58.675714285714285,61.525666666666666
2000-04-13,60.69,58.73428571428571,61.7
2000-04-14,64.35,60.59714285714285,61.695
2000-04-15,53.38,60.69857142857143,61.21266666666667
2000-04-16,54.4,61.08,60.66133333333333
2000-04-17,51.91,59.878571428571426,60.263000000000005
2000-04-18,56.02,57.698571428571434,60.431333333333335
2000-04-19,56.74,56.784285714285716,60.375
2000-04-20,53.46,55.75142857142857,59.94566666666667
2000-04-21,64.8,55.81571428571429,60.256
2000-04-22,68.57,57.98571428571428,60.40566666666666
2000-04-23,56.25,58.25,60.275333333333336
2000-04-24,59.26,59.300000000000004,60.64966666666667
2000-04-25,63.1,60.311428571428564,60.941
2000-04-26,58.36,60.54285714285714,60.53066666666666
2000-04-27,58.92,61.32285714285714,60.120000000000005
2000-04-28,61.56,60.86000000000001,60.11366666666667
