Date,interest_rate,exchange_rate,interest_rate_MA30,exchange_rate_MA30
2000-01-18,4.12,1.74,,
2000-01-19,4.68,1.72,,
2000-01-20,4.29,1.67,,
2000-01-21,3.73,1.68,,
2000-01-22,3.96,1.63,,
2000-01-23,4.72,1.65,,
2000-01-24,4.15,1.6,,
2000-01-25,4.79,1.69,,
2000-01-26,4.94,1.73,,
2000-01-27,4.42,1.74,,
2000-01-28,4.88,1.62,,
2000-01-29,6.32,1.67,,
2000-01-30,5.82,1.69,,
2000-01-31,4.44,1.56,,
2000-02-01,4.68,1.53,,
2000-02-02,4.42,1.56,,
2000-02-03,4.79,1.69,,
2000-02-04,4.08,1.73,,
2000-02-05,3.9,1.69,,
2000-02-06,4.34,1.72,,
2000-02-07,4.01,1.67,,
2000-02-08,4.0,1.6,,
2000-02-09,4.43,1.74,,
2000-02-10,5.25,1.64,,
2000-02-11,4.84,1.77,,
2000-02-12,5.64,1.8,,
2000-02-13,4.35,1.72,,
2000-02-14,3.98,1.71,,
2000-02-15,3.86,1.76,,
2000-02-16,4.64,1.73,4.549,1.6816666666666669
2000-02-17,4.82,1.6,4.572333333333333,1.6769999999999998
2000-02-18,5.18,1.59,4.5889999999999995,1.6726666666666667
2000-02-19,5.12,1.72,4.616666666666666,1.6743333333333332
2000-02-20,4.13,1.8,4.63,1.6783333333333332
2000-02-21,5.11,1.56,4.668333333333334,1.676
2000-02-22,5.7,1.64,4.701,1.6756666666666669
2000-02-23,4.38,1.66,4.708666666666667,1.6776666666666666
2000-02-24,4.7,1.66,4.7056666666666676,1.6766666666666665
2000-02-25,5.86,1.61,4.7363333333333335,1.6726666666666667
2000-02-26,5.58,1.54,4.775,1.666
2000-02-27,5.52,1.51,4.796333333333333,1.6623333333333332
2000-02-28,5.52,1.74,4.769666666666667,1.6646666666666665
2000-02-29,3.56,1.51,4.694333333333334,1.6586666666666665
2000-03-01,5.05,1.65,4.714666666666667,1.6616666666666666
2000-03-02,4.82,1.67,4.719333333333334,1.6663333333333332
2000-03-03,4.19,1.78,4.711666666666667,1.6736666666666666
2000-03-04,4.62,1.71,4.706,1.6743333333333332
2000-03-05,5.21,1.69,4.743666666666667,1.6729999999999998
2000-03-06,3.65,1.62,4.735333333333333,1.6706666666666667
