country_code,region,income_group,trade_balance_status,political_stability,economic_sector_dominant,currency_type,policy_framework,season,crisis_event,governance_quality,climate_impact_level,trade_bloc,financial_access,migration_trend,date,year,quarter,gdp_per_capita,inflation_rate,unemployment_rate,interest_rate,exchange_rate,exports_usd,imports_usd,debt_gdp_ratio,investment_pct_gdp,consumption_pct_gdp,population_million,urbanization_pct,internet_penetration,energy_consumption_mwh,renewable_energy_pct,income_inequality_gini,education_index,healthcare_index,poverty_rate,fdi_inflows_usd,business_confidence_index,manufacturing_pmi,economic_day_status
,,Upper-Middle,Neutral,Stable,,,Socialist,Q1,None,Medium,Medium,,,Outflow,2000-01-01,2000,1,,,,,1.5967645914938264,,,,,61.456884458923895,,53.44100820805029,43.58411972492996,,,,,,,,48.88261706270959,52.3293790992362,Medium
C06,Europe,Upper-Middle,Deficit,Stable,Industry,Fiat,Socialist,Q1,None,Medium,Low,NAFTA,,,,2000,1,28506.446273858663,,6.352918864030638,,,,,,,,,,,,,46.654507197740585,0.6193305121415833,,,,,,Low
C06,Europe,,Neutral,Stable,Industry,Fiat,,Q1,,Medium,Low,NAFTA,Medium,,2000-01-03,2000,1,,,,,,,813633.895600141,,,,,,,,,,,,,,,51.64961334743116,Medium
C06,,Upper-Middle,,Stable,Industry,,,Q1,None,,Medium,,,,,2000,1,,,6.115878547513761,,,,,64.72182002703124,,60.3895320159579,47.07943799686684,,53.459445457612574,,,,,0.6226649917593595,26.91755530961907,,,,Low
C06,Europe,Upper-Middle,Surplus,,,Fiat,Mixed,Q1,None,Medium,,,High,Outflow,,2000,1,,,,,,,,,,,,,,,,,,,,,,,Low
C06,Europe,Upper-Middle,Surplus,Stable,Industry,Fiat,Mixed,Q1,None,Medium,Low,,High,,,2000,1,,,6.36448578739508,,1.5065549137395775,,,,,,,56.21023057357429,,1103.2509682510497,,45.07758845980242,,0.6632769079803886,,,,,Medium
C06,Europe,,,Stable,Industry,,Keynesian,,None,Medium,Low,,High,Neutral,2000-01-07,2000,1,,,5.826646209699929,,,,906115.0556579932,,40.0,,,,48.57745866035208,,,,0.6487745558299638,,,,47.16058150901546,51.73935052144825,Medium
,Europe,Upper-Middle,Deficit,Stable,Industry,Fiat,Mixed,Q1,None,Medium,Medium,NAFTA,High,Neutral,2000-01-08,2000,1,,,,,,,,,,,47.18922183153593,55.07951908980292,,,6.097478057592075,,,,,,54.43638345502894,,Medium
C06,Europe,,Deficit,Stable,Industry,Fiat,Mixed,Q1,,,Low,NAFTA,,,,2000,1,,,,,,,1125229.5513819517,,,,,,,,13.07797667024216,,,0.660913659159347,,,,,Low
,Europe,Upper-Middle,Deficit,,,Fiat,Mixed,Q1,None,Medium,Low,NAFTA,Medium,Inflow,2000-01-10,2000,1,,2.5596580910893603,3.843719495340928,,1.6707062556474868,,,,,,,,,,,,0.6166964576917179,,,,,,Low
C06,Europe,,,Stable,,Fiat,Keynesian,,None,Medium,,NAFTA,Low,,,2000,1,,,,3.671430738697283,,,,,,,,57.18921631789368,,1046.3943960723786,,,,0.651287960577103,,,,,Medium
C06,Europe,,Surplus,,Industry,Fiat,,Q1,None,Medium,Low,NAFTA,Medium,Outflow,,2000,1,27503.8657670356,3.40070570809594,,,,1173119.860512318,,,,,,,,1078.7919816200736,,,,0.6772850673414829,,,,,Low
C06,,Upper-Middle,Deficit,Stable,Industry,Fiat,Mixed,,,,,NAFTA,Low,,2000-01-13,2000,1,26168.652292392504,,,,,,,68.32193569703074,,,46.81974864906475,,,,8.13099351189081,,,0.6554602579520569,,,,,Low
,Europe,,,,,Fiat,,Q1,None,,Medium,NAFTA,,,2000-01-14,2000,1,,,4.371341261436576,,,,,,40.0,,46.85081924851804,,,1110.3965470869773,,40.04520675179506,,,,,,,Low
,Europe,,Neutral,Stable,Industry,Fiat,Keynesian,,,Medium,Low,,Low,Neutral,2000-01-15,2000,1,,,,,,,,,,,,52.71665286338517,42.886195693149205,,,,,,,,,,Low
C06,Europe,Upper-Middle,Surplus,,Industry,,Mixed,Q1,None,Medium,High,NAFTA,Low,Outflow,,2000,1,,,,,,1181324.8953625371,,,,,,53.44756645037406,,1092.955823930355,,40.99444390742427,0.5969858044864679,,,,,,Low
C06,Europe,Upper-Middle,,,Industry,,,,None,,Low,,,Neutral,2000-01-17,2000,1,,2.114751151521369,,,,1253139.518013911,,,,,,,45.87442108695612,,9.716909637170131,38.38737492689855,,,,,,50.51364030267877,Low
,Europe,,Deficit,Stable,Industry,Fiat,Keynesian,Q1,None,Medium,,,Medium,Outflow,,2000,1,27496.1934484514,,5.946374978530281,4.727099898642735,,1424098.7768513225,,,,,,,44.52650774529462,1052.3100153726857,,,,,,,49.127631979480014,,Low
C06,Europe,Upper-Middle,Surplus,Stable,Industry,Fiat,,Q1,None,Medium,Low,NAFTA,High,Outflow,2000-01-19,2000,1,,,5.156332754110949,4.955911462212269,,1063436.577747919,1023782.555375938,59.3587587973117,,,,,,,,38.08371658268211,,,28.051494652309927,43413.99172921037,,,Low
,,,Surplus,Stable,,Fiat,,Q1,None,Medium,Low,NAFTA,,Inflow,,2000,1,28348.99906080775,1.8623851605391504,5.415614263205098,2.4424545519525003,1.5138806813543737,,,,,,,,,1051.2742162405466,17.220036871157944,,,,,76236.58395032916,52.252605669951954,,Low
,Europe,Upper-Middle,,Moderate,Industry,,Keynesian,,None,Medium,Medium,NAFTA,,,2000-01-21,2000,1,29151.371166666748,,,,1.600661903246134,1242071.2598135497,,57.32645388976121,,,,52.61067612363326,,,11.627012953770922,,0.6130465058805891,,,,,50.14794862979102,Low
C06,Europe,Upper-Middle,Deficit,Stable,Industry,,,,None,Medium,Low,NAFTA,Medium,Outflow,2000-01-22,2000,1,,2.933486189861428,,,,,,,,,,,,,,,,,,,,,High
C06,Europe,Upper-Middle,Deficit,Stable,Industry,Fiat,Socialist,Q1,,,Low,NAFTA,,Outflow,2000-01-23,2000,1,,,6.9340112479338885,,1.4492044925246417,,,,,64.1780110561991,,,,,,,,,,62970.59539666034,,51.62859925569953,Medium
C06,,Upper-Middle,Deficit,Stable,Industry,Fiat,Keynesian,Q1,,,Low,,Medium,Neutral,2000-01-24,2000,1,27038.46560386114,,,,,,,66.29273737866968,,61.08655513321974,46.87562596235214,,,1066.140273824893,2.204461234267705,,,,,76383.83319944856,,,Medium
C06,Europe,Upper-Middle,Deficit,Stable,,,Mixed,Q1,None,Medium,,NAFTA,High,Inflow,2000-01-25,2000,1,,,7.152673087755202,,1.6380777128380086,,,,,,,,,,,,0.6007989769134416,0.6231333569310485,,,,,Low
C06,,,Surplus,,,,Socialist,,None,,Low,,Low,Neutral,,2000,1,,,,,,,,68.69413540490254,,,,,,,,,,,22.55424206419896,,,46.64987929066132,Low
C06,,,,Stable,,Fiat,,Q1,None,Medium,High,NAFTA,,Inflow,,2000,1,,,,,,,,,,,,50.90054445938373,38.43274564689426,,,,0.5641702719775561,,,,52.53659606275062,,Low
