Date,internet_penetration,internet_penetration_MA30
2000-01-15,41.38,
2000-01-15,41.85,
2000-01-15,42.35,
2000-01-15,42.82,
2000-01-15,43.29,
2000-01-15,43.71,
2000-01-15,44.34,
2000-01-15,45.28,
2000-01-15,46.22,
2000-01-16,47.21,
2000-01-16,47.0,
2000-01-16,47.79,
2000-01-16,47.93,
2000-01-16,47.46,
2000-01-16,45.96,
2000-01-16,44.79,
2000-01-16,43.59,
2000-01-16,42.44,
2000-01-16,46.62,
2000-01-17,41.83,
2000-01-17,41.22,
2000-01-17,42.89,
2000-01-17,41.22,
2000-01-17,42.04,
2000-01-17,46.78,
2000-01-17,48.47,
2000-01-17,49.46,
2000-01-17,45.19,
2000-01-17,43.73,
2000-01-18,51.31,44.87233333333334
2000-01-18,49.91,45.15666666666666
2000-01-18,50.28,45.437666666666665
2000-01-18,50.61,45.713
2000-01-18,51.1,45.989
2000-01-18,48.85,46.17433333333334
2000-01-18,45.02,46.217999999999996
2000-01-18,45.99,46.273
2000-01-18,44.3,46.24033333333333
2000-01-18,47.44,46.281
2000-01-19,43.69,46.163666666666664
2000-01-19,43.5,46.047
2000-01-19,43.29,45.897000000000006
2000-01-19,42.96,45.731333333333325
2000-01-19,42.23,45.556999999999995
2000-01-19,42.21,45.432
2000-01-19,42.91,45.36933333333333
2000-01-19,43.62,45.37033333333333
2000-01-19,42.0,45.355666666666664
2000-01-19,42.61,45.222
2000-01-20,44.18,45.300333333333334
2000-01-20,44.04,45.394333333333336
2000-01-20,44.04,45.43266666666667
2000-01-20,44.13,45.529666666666664
2000-01-20,43.87,45.59066666666667
2000-01-20,43.97,45.497
2000-01-20,43.78,45.34066666666667
2000-01-20,43.76,45.150666666666666
2000-01-20,43.87,45.10666666666666
2000-01-20,43.83,45.11000000000001
2000-01-21,43.83,44.86066666666667
2000-01-21,43.87,44.65933333333333
2000-01-21,43.94,44.448
2000-01-21,44.06,44.22966666666666
2000-01-21,44.15,43.998000000000005
2000-01-21,44.27,43.84533333333333
2000-01-21,43.8,43.80466666666666
2000-01-21,43.31,43.71533333333333
2000-01-21,42.82,43.666000000000004
2000-01-21,44.3,43.56133333333333
2000-01-22,41.83,43.49933333333333
2000-01-22,39.13,43.35366666666667
2000-01-22,42.32,43.32133333333333
2000-01-22,40.12,43.226666666666674
2000-01-22,41.1,43.189
2000-01-22,38.36,43.06066666666666
2000-01-22,36.88,42.85966666666666
2000-01-22,37.37,42.65133333333333
2000-01-22,37.0,42.48466666666666
2000-01-22,37.86,42.32633333333333
2000-01-23,41.13,42.224666666666664
2000-01-23,40.77,42.11566666666666
2000-01-23,40.45,41.995999999999995
2000-01-23,40.09,41.86133333333334
2000-01-23,41.08,41.76833333333333
2000-01-23,39.13,41.60699999999999
2000-01-23,38.45,41.42933333333333
2000-01-23,37.77,41.22966666666666
2000-01-23,37.35,41.01233333333334
2000-01-23,39.74,40.876
2000-01-24,40.35,40.76
2000-01-24,40.07,40.63333333333333
2000-01-24,40.92,40.532666666666664
2000-01-24,40.63,40.41833333333334
2000-01-24,39.88,40.275999999999996
2000-01-24,40.16,40.139
2000-01-24,40.68,40.035000000000004
2000-01-24,41.22,39.965333333333334
2000-01-24,41.76,39.92999999999999
2000-01-24,42.3,39.86333333333334
2000-01-25,43.19,39.90866666666667
2000-01-25,46.03,40.13866666666666
2000-01-25,44.25,40.203
2000-01-25,45.33,40.376666666666665
2000-01-25,46.64,40.56133333333333
2000-01-25,46.57,40.83500000000001
2000-01-25,47.16,41.17766666666667
2000-01-25,46.13,41.46966666666667
2000-01-25,47.11,41.806666666666665
2000-01-26,45.4,42.058
2000-01-26,44.39,42.166666666666664
2000-01-26,43.38,42.25366666666667
2000-01-26,42.56,42.324
2000-01-26,42.02,42.38833333333333
2000-01-26,40.49,42.36866666666666
2000-01-26,41.01,42.431333333333335
2000-01-26,40.31,42.49333333333334
2000-01-26,41.53,42.61866666666667
2000-01-26,40.54,42.725
2000-01-27,40.94,42.765
2000-01-27,41.24,42.79466666666667
2000-01-27,41.43,42.84
2000-01-27,41.6,42.86266666666667
2000-01-27,41.74,42.89966666666667
2000-01-27,41.34,42.94833333333334
2000-01-27,41.06,42.97833333333333
2000-01-27,40.77,42.981333333333325
2000-01-27,41.5,42.99066666666667
2000-01-27,41.64,42.98666666666667
2000-01-28,39.86,42.90533333333333
2000-01-28,39.98,42.79833333333333
2000-01-28,40.63,42.61833333333334
2000-01-28,40.33,42.48766666666667
2000-01-28,40.14,42.31466666666667
