country_code,region,income_group,trade_balance_status,political_stability,economic_sector_dominant,currency_type,policy_framework,season,crisis_event,governance_quality,climate_impact_level,trade_bloc,financial_access,migration_trend,date,year,quarter,gdp_per_capita,inflation_rate,unemployment_rate,interest_rate,exchange_rate,exports_usd,imports_usd,debt_gdp_ratio,investment_pct_gdp,consumption_pct_gdp,population_million,urbanization_pct,internet_penetration,energy_consumption_mwh,renewable_energy_pct,income_inequality_gini,education_index,healthcare_index,poverty_rate,fdi_inflows_usd,business_confidence_index,manufacturing_pmi,economic_day_status
C01,Europe,Upper-Middle,Deficit,Stable,Industry,Fiat,,,,,Medium,EU,Medium,,2000-01-01,2000,1,,,,3.499319965415467,1.5390614264435496,,,63.21193582124569,,,38.34006649735487,,,,,,,,,45441.270827781045,50.84758698618104,,Medium
C01,Europe,Upper-Middle,Deficit,Stable,Industry,Fiat,,,,High,,EU,Medium,Inflow,2000-01-02,2000,1,,,,,,,683258.6388579492,,,,,,,,10.082544276474122,,,,25.26837930740269,,,,Medium
C01,,,Surplus,Stable,Industry,Fiat,Socialist,Q1,None,High,High,EU,High,Inflow,2000-01-03,2000,1,,,,4.729099641968129,1.4016540050449042,,646509.5553601654,,35.734578196349645,,38.57192016527823,,37.1574905807092,,18.115458147804432,,,,24.509021314499392,,,,Medium
C01,,Upper-Middle,,Stable,,Fiat,,Q1,,,Low,,Medium,,,2000,1,,,,3.9539541125645017,,774711.4512479687,,,,,,,,,,,,0.6088143289191323,,50570.19611818254,,,High
C01,,,,Stable,Industry,,Neoliberal,,None,High,Low,EU,Medium,Neutral,2000-01-05,2000,1,,,,,1.4310866295189966,,,62.859491226934274,,,,,39.41816111456324,,10.78942635466729,,,,27.18119696048353,,48.56776362395457,,Low
C01,Europe,,Surplus,Stable,Industry,Fiat,Socialist,Q1,None,High,High,EU,Medium,Outflow,2000-01-06,2000,1,,,,4.725554928762413,,635512.1355211909,795680.2940613383,,,,38.91854339848183,,42.815560608773126,,,,,0.6628898642352133,,,49.001243895455005,53.04683615430497,Medium
C01,Europe,Upper-Middle,,,Industry,Fiat,Socialist,,None,High,Low,EU,Medium,Neutral,,2000,1,25796.703207248884,,,2.9924473436264862,,,901993.9847457882,,40.0,,,,,,,,0.5974660420810685,,27.80372174655223,,,,Medium
C01,Europe,Upper-Middle,Surplus,Stable,Industry,Fiat,Keynesian,Q1,None,High,Low,,High,,2000-01-08,2000,1,,,,,,,,,33.90971095982715,,,54.641592364319614,,,13.87005870376355,,,,,,,,Low
C01,Europe,Upper-Middle,Neutral,,Industry,Fiat,Mixed,Q1,,High,Low,,High,Outflow,2000-01-09,2000,1,,2.4512471964321434,5.769740240579939,,,,,53.69825830347226,,62.27596454240076,,54.35151732875085,33.918614197490925,,11.052443425314182,,,,,38258.1687371634,,,Medium
C01,Europe,Upper-Middle,Surplus,Stable,,Fiat,Socialist,Q1,,High,Medium,,Medium,,2000-01-10,2000,1,,,,5.007784310158152,,,756665.9824144319,,,,38.755486505397705,,,,,,,,,,,,Low
C01,Europe,Upper-Middle,Surplus,Stable,Industry,Fiat,Neoliberal,,None,High,,EU,High,Outflow,2000-01-11,2000,1,,,4.2241180287585935,,,894834.3089086732,,,,,,,,,,,,,26.67321625182109,,,55.87605132801838,Medium
C01,Europe,,,Stable,,Fiat,,,None,High,High,,High,,2000-01-12,2000,1,,,,,1.3497777064214451,,740206.205483275,66.72673127341422,,,,,,,,,,,22.99725899501635,,,,High
C01,Europe,Upper-Middle,Surplus,,Industry,Fiat,Socialist,,None,High,,EU,Medium,Outflow,2000-01-13,2000,1,,,,,,,,67.96682308096048,,,,,,,9.79890132055836,,,,,36923.76197464232,,52.28970686588697,Low
C01,,,Surplus,,Industry,Fiat,,Q1,,High,,,High,Outflow,2000-01-14,2000,1,,,,,,,,57.15180914731837,,61.14653314277296,,,,,,,,,,,,,Low
,Europe,Upper-Middle,Deficit,Stable,Industry,Fiat,Mixed,Q1,None,High,,,Medium,Outflow,2000-01-15,2000,1,,,6.605886704365767,,,,,,40.0,,38.602658398120425,,,897.189466787204,,,,,25.31701333540193,,,,Medium
,Europe,,Surplus,,,Fiat,Keynesian,Q1,None,High,Low,,,Neutral,2000-01-16,2000,1,,3.4430750198926523,,,,,668805.8269304527,,32.64900017527813,,,,,,,,0.5984636251482393,,,56187.10149235072,,,Medium
C01,Europe,Upper-Middle,,,Industry,Fiat,Mixed,,None,High,Medium,EU,Medium,Outflow,2000-01-17,2000,1,25089.41474414849,1.4708285837748216,,,,,,,,,,,,,8.743745650867886,,,,,,49.44619499249343,,Medium
C01,Europe,Upper-Middle,Deficit,,Industry,Fiat,,Q1,None,High,,EU,Low,Inflow,2000-01-18,2000,1,,,,,1.3694474183555303,,,,,,,,,864.7123450001358,,28.156348803762505,,,27.14242006114494,,,,High
,Europe,Upper-Middle,Deficit,,Industry,,Mixed,,,,,,Low,Neutral,,2000,1,,,,,1.4218699233028251,,,,36.56517351296583,,,56.95598002424677,38.49223622004572,,3.090547317089368,37.25321283123469,,,,,,,High
C01,Europe,,,Stable,Industry,,Neoliberal,,None,,Low,,,Neutral,,2000,1,,2.2558566166555383,,3.697910789042307,,,,,,,38.45426687942092,53.78214209934013,,793.3295008783188,,,,,26.376204220102384,,,,Medium
C01,Europe,,,Stable,,Fiat,Socialist,,,High,Low,EU,Low,Inflow,,2000,1,,,,6.04861704708962,,,890659.1933288922,58.19074856707661,,63.83370043550804,,50.63320483421148,,,,,,,,,,,Medium
C01,Europe,Upper-Middle,Surplus,Stable,,,Neoliberal,Q1,None,,Medium,EU,,Neutral,2000-01-22,2000,1,26120.488988068813,1.9069394943249809,,2.8904233791174097,,,,80.05508492066438,,,,,,,,,0.5790689962305029,,,,,,Medium
