Date,gdp_per_capita,gdp_per_capita_MA30
2000-01-19,18199.43,
2000-01-19,18227.92,
2000-01-19,18262.11,
2000-01-19,18290.6,
2000-01-19,18321.94,
2000-01-19,18347.58,
2000-01-19,18384.62,
2000-01-19,18444.44,
2000-01-20,18766.38,
2000-01-20,18763.53,
2000-01-20,18763.53,
2000-01-20,18757.83,
2000-01-20,18726.5,
2000-01-20,18632.48,
2000-01-20,18663.82,
2000-01-20,18603.99,
2000-01-20,18569.8,
2000-01-20,18504.27,
2000-01-20,18695.16,
2000-01-21,18695.16,
2000-01-21,18632.48,
2000-01-21,18652.42,
2000-01-21,18675.21,
2000-01-21,18715.1,
2000-01-21,18746.44,
2000-01-21,18737.89,
2000-01-21,18757.83,
2000-01-21,18766.38,
2000-01-21,18726.5,
2000-01-22,19105.41,18604.558333333334
2000-01-22,19062.68,18633.333333333332
2000-01-22,18985.75,18658.594333333334
2000-01-22,18908.83,18680.15166666667
2000-01-22,18829.06,18698.10033333333
2000-01-22,18740.74,18712.060333333335
2000-01-22,18700.85,18723.836000000003
2000-01-22,18663.82,18733.142666666667
2000-01-22,18626.78,18739.220666666668
2000-01-22,18780.63,18739.695666666667
2000-01-23,19227.92,18755.17533333333
2000-01-23,19213.68,18770.180333333334
2000-01-23,19202.28,18784.995333333332
2000-01-23,19213.68,18801.234666666664
2000-01-23,19242.17,18821.557666666668
2000-01-23,19262.11,18841.500666666667
2000-01-23,19256.41,18863.248000000003
2000-01-23,19222.22,18884.995333333332
2000-01-23,19182.34,18907.597666666665
2000-01-23,19145.3,18922.602333333332
2000-01-24,19589.74,18952.42166666667
2000-01-24,19564.1,18983.47566666667
2000-01-24,19535.61,19012.91533333333
2000-01-24,19509.97,19040.74066666667
2000-01-24,19467.24,19065.811999999998
2000-01-24,19415.95,19088.129
2000-01-24,19364.67,19109.021666666667
2000-01-24,19319.09,19127.730333333333
2000-01-24,19290.6,19145.204333333335
2000-01-24,19264.96,19163.153000000002
2000-01-24,19239.32,19167.616666666665
2000-01-25,19273.5,19174.644000000004
2000-01-25,19333.33,19186.23
2000-01-25,19390.31,19202.279333333332
2000-01-25,19450.14,19222.982000000004
2000-01-25,19541.31,19249.667666666664
2000-01-25,19584.05,19279.107666666667
2000-01-25,19561.25,19309.022
2000-01-25,19598.29,19341.40566666667
2000-01-25,19606.84,19368.946
2000-01-25,19509.97,19378.34766666667
2000-01-26,18960.11,19369.895333333334
2000-01-26,19213.68,19370.275333333335
2000-01-26,19148.15,19368.091000000004
2000-01-26,19048.43,19361.632999999998
2000-01-26,18948.72,19351.186666666665
2000-01-26,18851.85,19337.701333333334
2000-01-26,18800.57,19323.646333333334
2000-01-26,18752.14,19309.306333333334
2000-01-26,18794.87,19297.625333333333
2000-01-26,18877.49,19273.88366666667
2000-01-27,19880.34,19284.425
2000-01-27,19797.72,19293.162000000004
2000-01-27,19863.25,19304.938000000002
2000-01-27,19900.28,19319.372666666666
2000-01-27,19715.1,19329.34433333333
2000-01-27,19529.91,19334.852333333332
2000-01-27,19632.48,19345.298666666666
2000-01-27,19364.67,19347.767666666667
2000-01-27,19199.43,19345.583333333336
2000-01-27,19045.58,19339.125333333333
2000-01-28,19045.58,19331.528
2000-01-28,19136.75,19324.975333333332
2000-01-28,19225.07,19319.467333333334
2000-01-28,19310.54,19314.814
2000-01-28,19398.86,19310.06566666667
2000-01-28,19572.65,19309.685666666664
2000-01-28,19655.27,19312.819666666666
2000-01-28,19726.5,19317.09333333333
2000-01-28,19800.57,19323.551
2000-01-28,19487.18,19322.791333333334
2000-01-29,18834.76,19318.613
2000-01-29,19207.98,19318.423
2000-01-29,19065.53,19315.668999999998
2000-01-29,18917.38,19311.300666666666
2000-01-29,18760.68,19305.03266666667
2000-01-29,18686.61,19299.524666666668
2000-01-29,18649.57,19294.49133333333
2000-01-29,18698.01,19292.686999999998
2000-01-29,18752.14,19291.262666666666
2000-01-29,18843.3,19290.123
2000-01-29,18943.02,19258.879
2000-01-30,19424.5,19246.43833333333
2000-01-30,19490.03,19233.997666666666
2000-01-30,19555.56,19222.507
2000-01-30,19618.23,19219.278000000002
2000-01-30,19652.42,19223.361666666668
2000-01-30,19658.12,19224.216333333334
2000-01-30,19586.89,19231.623666666666
2000-01-30,19512.82,19242.07
2000-01-30,19438.75,19255.175666666666
2000-01-30,19358.97,19265.622
2000-01-31,18974.36,19260.209
2000-01-31,19011.4,19253.086666666666
2000-01-31,19045.58,19244.254666666668
2000-01-31,19076.92,19233.52333333333
2000-01-31,19116.81,19218.328666666665
2000-01-31,19216.52,19203.703666666665
2000-01-31,19267.81,19188.414
2000-01-31,19319.09,19172.364666666665
2000-01-31,19367.52,19168.376
2000-01-31,19168.09,19179.487
2000-02-01,18717.95,19163.15266666667
2000-02-01,18931.62,19158.689000000002
2000-02-01,18888.89,19157.739333333335
2000-02-01,18846.15,19160.58833333333
2000-02-01,18806.27,19164.576999999997
2000-02-01,18763.53,19168.375666666667
2000-02-01,18669.52,19167.426
2000-02-01,18618.23,19162.962333333333
2000-02-01,18569.8,19153.84566666667
2000-02-01,18541.31,19140.455333333335
2000-02-02,18578.35,19112.250333333333
2000-02-02,18484.33,19078.727000000003
2000-02-02,18641.03,19048.242666666665
2000-02-02,18609.69,19014.624666666667
2000-02-02,18552.71,18977.967666666667
2000-02-02,18515.67,18939.886000000002
2000-02-02,18501.42,18903.703666666665
2000-02-02,18472.93,18869.040666666664
2000-02-02,18492.88,18837.511666666665
2000-02-02,18527.07,18809.781666666666
2000-02-03,18883.19,18806.74266666667
2000-02-03,18962.96,18805.128
2000-02-03,18937.32,18801.519333333337
2000-02-03,18914.53,18796.106333333333
2000-02-03,18846.15,18787.084333333336
2000-02-03,18985.75,18779.392
2000-02-03,18772.08,18762.86766666667
2000-02-03,18737.89,18743.494333333332
2000-02-03,18706.55,18721.462
2000-02-03,18675.21,18705.032666666666
2000-02-03,18806.27,18707.976666666666
2000-02-04,19085.47,18713.104999999996
2000-02-04,19082.62,18719.56266666666
2000-02-04,19071.23,18727.065333333336
2000-02-04,19076.92,18736.087
2000-02-04,19076.92,18746.533333333333
2000-02-04,19048.43,18759.163666666664
2000-02-04,19056.98,18773.788666666667
2000-02-04,19008.55,18788.413666666664
2000-02-04,19068.38,18805.982666666667
2000-02-04,19034.19,18821.177333333337
2000-02-05,19059.83,18840.360666666664
2000-02-05,19048.43,18853.94066666667
2000-02-05,19031.34,18867.995666666666
2000-02-05,19014.25,18883.380333333334
2000-02-05,19000.0,18899.524666666668
2000-02-05,18991.45,18915.859
2000-02-05,19008.55,18933.713
2000-02-05,19037.04,18951.85166666667
2000-02-05,19065.53,18969.800333333333
2000-02-05,19096.87,18976.923
2000-02-06,19401.71,18991.548000000003
2000-02-06,19495.73,19010.161666666667
2000-02-06,19464.39,19028.490333333335
2000-02-06,19433.05,19048.053666666667
2000-02-06,19370.37,19060.874333333333
2000-02-06,19339.03,19079.772666666664
2000-02-06,19301.99,19098.576
2000-02-06,19245.01,19116.524666666668
2000-02-06,19185.19,19133.523999999998
2000-02-06,19128.21,19144.255333333334
2000-02-07,19509.97,19158.405333333336
2000-02-07,19512.82,19172.745333333332
2000-02-07,19518.52,19187.654999999995
2000-02-07,19515.67,19202.280000000002
2000-02-07,19484.33,19215.86033333333
2000-02-07,19450.14,19229.250666666667
2000-02-07,19415.95,19241.216333333334
2000-02-07,19381.77,19253.657
2000-02-07,19347.58,19262.963666666667
2000-02-07,19296.3,19271.700666666664
2000-02-08,19273.5,19278.822999999997
2000-02-08,19205.13,19284.04633333333
2000-02-08,19498.58,19299.621
2000-02-08,19384.62,19311.966666666667
2000-02-08,19145.3,19316.809999999998
2000-02-08,19091.17,19320.134000000002
2000-02-08,19045.58,19321.368333333332
2000-02-08,19068.38,19322.413
2000-02-08,19102.56,19323.647333333334
2000-02-08,19162.39,19325.831333333335
2000-02-08,19230.77,19320.133333333335
2000-02-09,18786.32,19296.48633333333
