Date,business_confidence_index,manufacturing_pmi,business_confidence_index_MA30,manufacturing_pmi_MA30
2000-01-18,47.9,47.32,,
2000-01-19,48.28,47.59,,
2000-01-20,50.72,48.5,,
2000-01-21,51.38,48.92,,
2000-01-22,48.56,50.13,,
2000-01-23,53.03,49.49,,
2000-01-24,49.97,47.79,,
2000-01-25,51.49,49.44,,
2000-01-26,51.24,48.91,,
2000-01-27,48.08,49.75,,
2000-01-28,48.91,50.85,,
2000-01-29,48.89,48.09,,
2000-01-30,50.28,49.94,,
2000-01-31,50.28,49.58,,
2000-02-01,50.93,49.86,,
2000-02-02,49.27,49.86,,
2000-02-03,50.41,52.31,,
2000-02-04,48.98,52.65,,
2000-02-05,49.16,50.27,,
2000-02-06,49.86,49.52,,
2000-02-07,51.6,49.77,,
2000-02-08,49.99,50.22,,
2000-02-09,48.45,52.59,,
2000-02-10,50.39,53.04,,
2000-02-11,51.26,51.54,,
2000-02-12,51.59,51.18,,
2000-02-13,52.18,51.4,,
2000-02-14,51.57,49.22,,
2000-02-15,50.96,49.17,,
2000-02-16,50.9,49.02,50.217,49.93066666666667
2000-02-17,53.64,49.19,50.40833333333333,49.993
2000-02-18,52.49,51.27,50.54866666666667,50.11566666666667
2000-02-19,48.64,51.1,50.47933333333333,50.20233333333333
2000-02-20,52.34,48.84,50.51133333333334,50.199666666666666
2000-02-21,52.68,48.91,50.64866666666667,50.159
2000-02-22,49.6,51.32,50.53433333333333,50.22
2000-02-23,52.95,51.05,50.63366666666666,50.32866666666666
2000-02-24,53.25,49.64,50.69233333333333,50.33533333333333
2000-02-25,51.98,50.55,50.717,50.39
2000-02-26,52.04,50.41,50.849000000000004,50.412000000000006
2000-02-27,50.58,47.87,50.90466666666667,50.312666666666665
2000-02-28,51.85,50.69,51.00333333333333,50.39933333333333
2000-02-29,54.03,51.48,51.12833333333333,50.45066666666666
2000-03-01,55.33,52.98,51.29666666666667,50.564
2000-03-02,54.03,53.54,51.4,50.68666666666666
2000-03-03,54.42,49.16,51.57166666666667,50.663333333333334
2000-03-04,55.6,47.54,51.744666666666674,50.504333333333335
2000-03-05,52.02,50.18,51.846000000000004,50.422000000000004
2000-03-06,53.76,52.32,51.99933333333333,50.49033333333333
2000-03-07,56.33,51.23,52.215,50.547333333333334
2000-03-08,54.52,49.89,52.31233333333333,50.55133333333333
2000-03-09,52.15,48.81,52.38433333333333,50.504333333333335
2000-03-10,54.8,49.77,52.596,50.41033333333334
2000-03-11,50.6,49.52,52.603,50.293
2000-03-12,49.63,50.02,52.54866666666667,50.242333333333335
2000-03-13,51.9,50.75,52.559,50.228
2000-03-14,53.73,49.91,52.610666666666674,50.17833333333333
2000-03-15,53.75,49.64,52.68333333333333,50.19233333333333
2000-03-16,54.16,50.77,52.79,50.245666666666665
2000-03-17,54.45,51.16,52.90833333333333,50.317
2000-03-18,55.28,50.82,52.962999999999994,50.37133333333334
2000-03-19,53.78,50.07,53.00599999999999,50.331333333333326
2000-03-20,52.79,50.16,53.14433333333333,50.3
2000-03-21,52.68,49.05,53.15566666666666,50.307
2000-03-22,51.1,50.03,53.103,50.34433333333333
2000-03-23,48.19,48.8,53.056,50.26033333333333
2000-03-24,53.12,50.94,53.061666666666675,50.25666666666667
2000-03-25,56.52,51.35,53.17066666666667,50.31366666666667
2000-03-26,52.78,48.31,53.19733333333333,50.239000000000004
2000-03-27,55.66,50.54,53.318,50.24333333333333
2000-03-28,54.3,51.19,53.442,50.354000000000006
2000-03-29,56.79,50.66,53.60666666666667,50.352999999999994
2000-03-30,54.86,50.55,53.63433333333333,50.322
2000-03-31,53.36,54.64,53.568666666666665,50.37733333333333
2000-04-01,54.42,52.38,53.58166666666667,50.33866666666667
2000-04-02,53.12,52.02,53.538333333333334,50.434
2000-04-03,52.48,50.49,53.434333333333335,50.532333333333334
2000-04-04,52.75,47.95,53.458666666666666,50.45799999999999
2000-04-05,53.65,47.26,53.455000000000005,50.28933333333334
2000-04-06,51.65,46.37,53.299,50.12733333333333
2000-04-07,56.96,48.75,53.38033333333333,50.089333333333336
2000-04-08,53.95,49.42,53.440333333333335,50.10966666666666
2000-04-09,54.08,51.57,53.416333333333334,50.169666666666664
2000-04-10,52.89,51.43,53.492666666666665,50.233333333333334
2000-04-11,52.34,50.66,53.583,50.254666666666665
2000-04-12,53.94,48.76,53.650999999999996,50.188333333333325
2000-04-13,55.57,49.6,53.712333333333326,50.178000000000004
2000-04-14,53.98,48.47,53.72,50.139
2000-04-15,53.25,48.91,53.68966666666667,50.077
2000-04-16,50.9,49.17,53.571333333333335,50.010666666666665
2000-04-17,52.06,53.2,53.464000000000006,50.09
